pathway	parents
atf4 activates genes in response to endoplasmic reticulum stress	Cellular responses to stimuli
atf6 atf6 alpha activates chaperones	Cellular responses to stimuli
perk regulates gene expression	Cellular responses to stimuli
ire1alpha activates chaperones	Cellular responses to stimuli
unfolded protein response upr	Cellular responses to stimuli
atf6 atf6 alpha activates chaperone genes	Cellular responses to stimuli
transcriptional regulation of white adipocyte differentiation	Developmental Biology
regulation of insulin like growth factor igf transport and uptake by insulin like growth factor binding proteins igfbps	Metabolism of proteins
glucagon like peptide 1 glp1 regulates insulin secretion	Metabolism
olfactory signaling pathway	Sensory Perception
synthesis secretion and inactivation of glucagon like peptide 1 glp 1	Metabolism of proteins
transport of small molecules	Transport of small molecules
abc family proteins mediated transport	Transport of small molecules
nuclear receptor transcription pathway	Gene expression (Transcription)
beta catenin independent wnt signaling	Signal Transduction
vasopressin like receptors	Signal Transduction
costimulation by the cd28 family	Immune System
receptor type tyrosine protein phosphatases	Neuronal System
cd28 co stimulation	Immune System
cd28 dependent pi3k akt signaling	Immune System
cd28 dependent vav1 pathway	Immune System
orexin and neuropeptides ff and qrfp bind to their respective receptors	Signal Transduction
ctla4 inhibitory signaling	Immune System
alpha oxidation of phytanate	Metabolism
glyoxylate metabolism and glycine degradation	Metabolism
beta oxidation of pristanoyl coa	Metabolism
sumoylation of transcription cofactors	Metabolism of proteins
pd 1 signaling	Immune System
cooperation of prefoldin and tric cct in actin and tubulin folding	Metabolism of proteins
formation of tubulin folding intermediates by cct tric	Metabolism of proteins
post chaperonin tubulin folding pathway	Metabolism of proteins
beta oxidation of very long chain fatty acids	Metabolism
folding of actin by cct tric	Metabolism of proteins
association of tric cct with target proteins during biosynthesis	Metabolism of proteins
striated muscle contraction	Muscle contraction
muscarinic acetylcholine receptors	Signal Transduction
dopamine receptors	Signal Transduction
serotonin receptors	Signal Transduction
adrenoceptors	Signal Transduction
diseases associated with o glycosylation of proteins	Disease
peroxisomal lipid metabolism	Metabolism
signal regulatory protein family interactions	Cell-Cell communication
protein folding	Metabolism of proteins
eicosanoid ligand binding receptors	Signal Transduction
leukotriene receptors	Signal Transduction
prostanoid ligand receptors	Signal Transduction
nitric oxide stimulates guanylate cyclase	Hemostasis
adp signalling through p2y purinoceptor 12	Hemostasis
g beta gamma signalling through pi3kgamma	Signal Transduction
rap1 signalling	Immune System
signal amplification	Hemostasis
prostacyclin signalling through prostacyclin receptor	Hemostasis
ephb mediated forward signaling	Developmental Biology
epha mediated growth cone collapse	Developmental Biology
ephrin signaling	Developmental Biology
eph ephrin mediated repulsion of cells	Developmental Biology
muscle contraction	Muscle contraction
g protein beta gamma signalling	Signal Transduction
trafficking of ampa receptors	Neuronal System
sema3a pak dependent axon repulsion	Developmental Biology
sema3a plexin repulsion signaling by inhibiting integrin adhesion	Developmental Biology
crmps in sema3a signaling	Developmental Biology
acetylcholine regulates insulin secretion	Metabolism
adrenaline noradrenaline inhibits insulin secretion	Metabolism
regulation of lipid metabolism by pparalpha	Metabolism
circadian clock	Circadian Clock
free fatty acids regulate insulin secretion	Metabolism
incretin synthesis secretion and inactivation	Metabolism of proteins
synthesis secretion and inactivation of glucose dependent insulinotropic polypeptide gip	Metabolism of proteins
sema4d in semaphorin signaling	Developmental Biology
sialic acid metabolism	Metabolism of proteins
sumoylation of sumoylation proteins	Metabolism of proteins
ca2 pathway	Signal Transduction
pcp ce pathway	Signal Transduction
sumoylation of intracellular receptors	Metabolism of proteins
g alpha q signalling events	Signal Transduction
g alpha 12 13 signalling events	Signal Transduction
sema4d mediated inhibition of cell attachment and migration	Developmental Biology
sema4d induced cell migration and growth cone collapse	Developmental Biology
other semaphorin interactions	Developmental Biology
trafficking of glur2 containing ampa receptors	Neuronal System
p2y receptors	Signal Transduction
nucleotide like purinergic receptors	Signal Transduction
platelet homeostasis	Hemostasis
reduction of cytosolic ca levels	Hemostasis
platelet calcium homeostasis	Hemostasis
cgmp effects	Hemostasis
g alpha s signalling events	Signal Transduction
adp signalling through p2y purinoceptor 1	Hemostasis
g alpha i signalling events	Signal Transduction
g alpha z signalling events	Signal Transduction
dcc mediated attractive signaling	Developmental Biology
netrin mediated repulsion signals	Developmental Biology
caspase activation via dependence receptors in the absence of ligand	Programmed Cell Death
role of second messengers in netrin 1 signaling	Developmental Biology
adherens junctions interactions	Cell-Cell communication
ncam1 interactions	Developmental Biology
lysosphingolipid and lpa receptors	Signal Transduction
opsins	Signal Transduction
calcitonin like ligand receptors	Signal Transduction
tight junction interactions	Cell-Cell communication
glucagon type ligand receptors	Signal Transduction
class c 3 metabotropic glutamate pheromone receptors	Signal Transduction
nectin necl trans heterodimerization	Cell-Cell communication
cell cell junction organization	Cell-Cell communication
synthesis secretion and deacylation of ghrelin	Metabolism of proteins
regulation of insulin secretion	Metabolism
transport of bile salts and organic acids metal ions and amine compounds	Transport of small molecules
bicarbonate transporters	Transport of small molecules
transport of inorganic cations anions and amino acids oligopeptides	Transport of small molecules
transport of vitamins nucleosides and related molecules	Transport of small molecules
slc mediated transmembrane transport	Transport of small molecules
metal ion slc transporters	Transport of small molecules
sodium calcium exchangers	Transport of small molecules
sodium proton exchangers	Transport of small molecules
arachidonate production from dag	Hemostasis
arachidonate production from dag	Signal Transduction
cation coupled chloride cotransporters	Transport of small molecules
small interfering rna sirna biogenesis	Gene expression (Transcription)
post transcriptional silencing by small rnas	Gene expression (Transcription)
sirt1 negatively regulates rrna expression	Gene expression (Transcription)
ercc6 csb and ehmt2 g9a positively regulate rrna expression	Gene expression (Transcription)
multifunctional anion exchangers	Transport of small molecules
sodium coupled phosphate cotransporters	Transport of small molecules
sphingolipid metabolism	Metabolism
activation of rac1	Developmental Biology
regulation of commissural axon pathfinding by slit and robo	Developmental Biology
inactivation of cdc42 and rac1	Developmental Biology
organic anion transporters	Transport of small molecules
role of abl in robo slit signaling	Developmental Biology
thromboxane signalling through tp receptor	Hemostasis
deadenylation dependent mrna decay	Metabolism of RNA
deadenylation of mrna	Metabolism of RNA
mrna decay by 3 to 5 exoribonuclease	Metabolism of RNA
mrna decay by 5 to 3 exoribonuclease	Metabolism of RNA
gp1b ix v activation signalling	Hemostasis
vasopressin regulates renal water homeostasis via aquaporins	Transport of small molecules
passive transport by aquaporins	Transport of small molecules
platelet sensitization by ldl	Hemostasis
lysosome vesicle biogenesis	Vesicle-mediated transport
golgi associated vesicle biogenesis	Vesicle-mediated transport
sodium coupled sulphate di and tri carboxylate transporters	Transport of small molecules
proton coupled monocarboxylate transport	Transport of small molecules
fatty acids bound to gpr40 ffar1 regulate insulin secretion	Metabolism
zinc transporters	Transport of small molecules
zinc efflux and compartmentalization by the slc30 family	Transport of small molecules
recycling pathway of l1	Developmental Biology
unblocking of nmda receptors glutamate binding and activation	Neuronal System
binding of tcf lef ctnnb1 to target gene promoters	Signal Transduction
depolymerisation of the nuclear lamina	Cell Cycle
zinc influx into cells by the slc39 gene family	Transport of small molecules
na cl dependent neurotransmitter transporters	Transport of small molecules
creb1 phosphorylation through the activation of adenylate cyclase	Neuronal System
creb1 phosphorylation through the activation of camkii camkk camkiv cascasde	Neuronal System
creb1 phosphorylation through nmda receptor mediated activation of ras signaling	Neuronal System
activation of nmda receptors and postsynaptic events	Neuronal System
ras activation upon ca2 influx through nmda receptor	Neuronal System
free fatty acid receptors	Signal Transduction
rsk activation	Neuronal System
formyl peptide receptors bind formyl peptides and many other ligands	Signal Transduction
relaxin receptors	Signal Transduction
interaction between l1 and ankyrins	Developmental Biology
signal transduction by l1	Developmental Biology
smooth muscle contraction	Muscle contraction
aquaporin mediated transport	Transport of small molecules
tak1 dependent ikk and nf kappa b activation	Immune System
type i hemidesmosome assembly	Cell-Cell communication
biosynthesis of the n glycan precursor dolichol lipid linked oligosaccharide llo and transfer to a nascent protein	Metabolism of proteins
synthesis of dolichyl phosphate	Metabolism of proteins
asparagine n linked glycosylation	Metabolism of proteins
synthesis of gdp mannose	Metabolism of proteins
synthesis of udp n acetyl glucosamine	Metabolism of proteins
synthesis of substrates in n glycan biosythesis	Metabolism of proteins
cell extracellular matrix interactions	Cell-Cell communication
regulation of cytoskeletal remodeling and cell spreading by ipp complex components	Cell-Cell communication
interleukin 1 family signaling	Immune System
cell junction organization	Cell-Cell communication
nrcam interactions	Developmental Biology
chl1 interactions	Developmental Biology
neurofascin interactions	Developmental Biology
interleukin 12 family signaling	Immune System
interleukin 17 signaling	Immune System
interleukin 1 processing	Immune System
signaling by interleukins	Immune System
other interleukin signaling	Immune System
mapk targets nuclear events mediated by map kinases	Immune System
activated tak1 mediates p38 mapk activation	Immune System
jnk c jun kinases phosphorylation and activation mediated by activated human tak1	Immune System
activation of the ap 1 family of transcription factors	Immune System
butyrate response factor 1 brf1 binds and destabilizes mrna	Metabolism of RNA
auf1 hnrnp d0 binds and destabilizes mrna	Metabolism of RNA
tristetraprolin ttp zfp36 binds and destabilizes mrna	Metabolism of RNA
hur elavl1 binds and stabilizes mrna	Metabolism of RNA
regulation of mrna stability by proteins that bind au rich elements	Metabolism of RNA
ksrp khsrp binds and destabilizes mrna	Metabolism of RNA
ionotropic activity of kainate receptors	Neuronal System
activation of kainate receptors upon glutamate binding	Neuronal System
interleukin 2 family signaling	Immune System
transcriptional regulation of pluripotent stem cells	Developmental Biology
mitotic g2 g2 m phases	Cell Cycle
mitotic g1 phase and g1 s transition	Cell Cycle
sumoylation of chromatin organization proteins	Metabolism of proteins
thrombin signalling through proteinase activated receptors pars	Hemostasis
sumoylation of rna binding proteins	Metabolism of proteins
asymmetric localization of pcp proteins	Signal Transduction
sumoylation of dna replication proteins	Metabolism of proteins
degradation of axin	Signal Transduction
degradation of dvl	Signal Transduction
disassembly of the destruction complex and recruitment of axin to the membrane	Signal Transduction
regulation of fzd by ubiquitination	Signal Transduction
repression of wnt target genes	Signal Transduction
sumoylation of dna methylation proteins	Metabolism of proteins
sumoylation of immune response proteins	Metabolism of proteins
signaling by wnt in cancer	Disease
signaling by ctnnb1 phospho site mutants	Disease
interconversion of nucleotide di and triphosphates	Metabolism
presynaptic function of kainate receptors	Neuronal System
gpcr ligand binding	Signal Transduction
defective galnt3 causes hftc	Disease
defective lfng causes scdo3	Disease
defective c1galt1c1 causes tnps	Disease
wnt5a dependent internalization of fzd4	Signal Transduction
interleukin 3 interleukin 5 and gm csf signaling	Immune System
wnt5a dependent internalization of fzd2 fzd5 and ror2	Signal Transduction
o linked glycosylation	Metabolism of proteins
o glycosylation of tsr domain containing proteins	Metabolism of proteins
mitophagy	Autophagy
pink1 prkn mediated mitophagy	Autophagy
uptake and function of anthrax toxins	Disease
ripk1 mediated regulated necrosis	Programmed Cell Death
regulated necrosis	Programmed Cell Death
vegfr2 mediated vascular permeability	Signal Transduction
vegfr2 mediated cell proliferation	Signal Transduction
miscellaneous transport and binding events	Transport of small molecules
positive epigenetic regulation of rrna expression	Gene expression (Transcription)
b wich complex positively regulates rrna expression	Gene expression (Transcription)
negative epigenetic regulation of rrna expression	Gene expression (Transcription)
toxicity of botulinum toxin type d botd	Disease
myogenesis	Developmental Biology
diseases of immune system	Disease
n glycan trimming in the er and calnexin calreticulin cycle	Metabolism of proteins
dna methylation	Gene expression (Transcription)
uptake and function of diphtheria toxin	Disease
uptake and actions of bacterial toxins	Disease
signaling by lrp5 mutants	Disease
signaling by rnf43 mutants	Disease
caspase activation via extrinsic apoptotic signalling pathway	Programmed Cell Death
tnfr1 induced proapoptotic signaling	Signal Transduction
programmed cell death	Programmed Cell Death
tnfr1 induced nfkappab signaling pathway	Signal Transduction
hedgehog ligand biogenesis	Signal Transduction
signaling by hedgehog	Signal Transduction
synthesis of diphthamide eef2	Metabolism of proteins
mismatch repair	DNA Repair
signaling by retinoic acid	Signal Transduction
release of hh np from the secreting cell	Signal Transduction
ra biosynthesis pathway	Signal Transduction
mitochondrial translation	Metabolism of proteins
negative regulation of tcf dependent signaling by dvl interacting proteins	Signal Transduction
diseases of mismatch repair mmr	Disease
aflatoxin activation and detoxification	Metabolism
organic cation transport	Transport of small molecules
organic cation anion zwitterion transport	Transport of small molecules
metabolism of lipids	Metabolism
phase 4 resting membrane potential	Muscle contraction
phase 3 rapid repolarisation	Muscle contraction
cardiac conduction	Muscle contraction
phase 0 rapid depolarisation	Muscle contraction
phase 2 plateau phase	Muscle contraction
phase 1 inactivation of fast na channels	Muscle contraction
transcriptional regulation by small rnas	Gene expression (Transcription)
physiological factors	Muscle contraction
ion homeostasis	Muscle contraction
metabolic disorders of biological oxidation enzymes	Disease
piwi interacting rna pirna biogenesis	Gene expression (Transcription)
ikba variant leads to eda id	Disease
irak4 deficiency tlr2 4	Disease
dectin 1 mediated noncanonical nf kb signaling	Immune System
clec7a dectin 1 induces nfat activation	Immune System
clec7a dectin 1 signaling	Immune System
diseases associated with glycosylation precursor biosynthesis	Disease
organic anion transport	Transport of small molecules
degradation of gli1 by the proteasome	Signal Transduction
hedgehog off state	Signal Transduction
activation of anterior hox genes in hindbrain development during early embryogenesis	Developmental Biology
cilium assembly	Organelle biogenesis and maintenance
abc transporter disorders	Disease
slc transporter disorders	Disease
disorders of transmembrane transporters	Disease
anchoring of the basal body to the plasma membrane	Organelle biogenesis and maintenance
vxpx cargo targeting to cilium	Organelle biogenesis and maintenance
cargo trafficking to the periciliary membrane	Organelle biogenesis and maintenance
bbsome mediated cargo targeting to cilium	Organelle biogenesis and maintenance
intraflagellar transport	Organelle biogenesis and maintenance
pyroptosis	Programmed Cell Death
dectin 2 family	Immune System
c type lectin receptors clrs	Immune System
cd209 dc sign signaling	Immune System
trafficking of myristoylated proteins to the cilium	Organelle biogenesis and maintenance
rho gtpases activate pkns	Signal Transduction
activated pkn1 stimulates transcription of ar androgen receptor regulated genes klk2 and klk3	Signal Transduction
rho gtpases activate cit	Signal Transduction
rho gtpases activate ktn1	Signal Transduction
rho gtpases activate iqgaps	Signal Transduction
tnfr1 mediated ceramide production	Signal Transduction
rho gtpases activate rocks	Signal Transduction
rho gtpases activate paks	Signal Transduction
tp53 regulates metabolic genes	Gene expression (Transcription)
ligand receptor interactions	Signal Transduction
hedgehog on state	Signal Transduction
regulation of tp53 activity	Gene expression (Transcription)
tp53 regulates transcription of cell death genes	Gene expression (Transcription)
activation of smo	Signal Transduction
gli proteins bind promoters of hh responsive genes to promote transcription	Signal Transduction
constitutive signaling by egfrviii	Disease
apex1 independent resolution of ap sites via the single nucleotide replacement pathway	DNA Repair
pcna dependent long patch base excision repair	DNA Repair
fructose metabolism	Metabolism
vesicle mediated transport	Vesicle-mediated transport
phospholipase c mediated cascade fgfr2	Signal Transduction
phospholipase c mediated cascade fgfr4	Signal Transduction
downstream signaling of activated fgfr1	Signal Transduction
shc mediated cascade fgfr1	Signal Transduction
pi 3k cascade fgfr1	Signal Transduction
frs mediated fgfr1 signaling	Signal Transduction
pi 3k cascade fgfr2	Signal Transduction
downstream signaling of activated fgfr2	Signal Transduction
frs mediated fgfr2 signaling	Signal Transduction
shc mediated cascade fgfr3	Signal Transduction
frs mediated fgfr3 signaling	Signal Transduction
downstream signaling of activated fgfr3	Signal Transduction
pi 3k cascade fgfr3	Signal Transduction
frs mediated fgfr4 signaling	Signal Transduction
downstream signaling of activated fgfr4	Signal Transduction
shc mediated cascade fgfr4	Signal Transduction
pi 3k cascade fgfr4	Signal Transduction
negative regulation of fgfr1 signaling	Signal Transduction
negative regulation of fgfr2 signaling	Signal Transduction
negative regulation of fgfr3 signaling	Signal Transduction
negative regulation of fgfr4 signaling	Signal Transduction
signaling by fgfr1	Signal Transduction
signaling by fgfr2	Signal Transduction
signaling by fgfr3	Signal Transduction
signaling by fgfr4	Signal Transduction
signaling by fgfr2 in disease	Disease
signaling by fgfr4 in disease	Disease
signaling by fgfr1 in disease	Disease
translesion synthesis by polk	DNA Repair
termination of translesion dna synthesis	DNA Repair
regulation of ras by gaps	Signal Transduction
fgfrl1 modulation of fgfr1 signaling	Signal Transduction
response to metal ions	Cellular responses to stimuli
clec7a inflammasome pathway	Immune System
metallothioneins bind metals	Cellular responses to stimuli
formation of xylulose 5 phosphate	Metabolism
melanin biosynthesis	Metabolism
diseases of carbohydrate metabolism	Disease
diseases of signal transduction by growth factor receptors and second messengers	Disease
infectious disease	Disease
rho gtpases activate wasps and waves	Signal Transduction
rho gtpases activate formins	Signal Transduction
rho gtpases activate rhotekin and rhophilins	Signal Transduction
tnfr2 non canonical nf kb pathway	Immune System
rho gtpases activate nadph oxidases	Signal Transduction
diseases of metabolism	Disease
tnfs bind their physiological receptors	Immune System
raf activation	Signal Transduction
map2k and mapk activation	Signal Transduction
constitutive signaling by akt1 e17k in cancer	Disease
negative feedback regulation of mapk pathway	Signal Transduction
negative regulation of mapk pathway	Signal Transduction
tnf receptor superfamily tnfsf members mediating non canonical nf kb pathway	Immune System
protein repair	Metabolism of proteins
defective cftr causes cystic fibrosis	Disease
lgi adam interactions	Developmental Biology
mapk family signaling cascades	Signal Transduction
surfactant metabolism	Metabolism of proteins
map3k8 tpl2 dependent mapk1 3 activation	Immune System
hdr through single strand annealing ssa	DNA Repair
hdr through mmej alt nhej	DNA Repair
hdr through homologous recombination hrr	DNA Repair
regulation of tlr by endogenous ligand	Immune System
mapk6 mapk4 signaling	Signal Transduction
diseases associated with surfactant metabolism	Disease
deubiquitination	Metabolism of proteins
defective csf2rb causes smdp5	Disease
uch proteinases	Metabolism of proteins
josephin domain dubs	Metabolism of proteins
ub specific processing proteases	Metabolism of proteins
ovarian tumor domain proteases	Metabolism of proteins
metalloprotease dubs	Metabolism of proteins
cd22 mediated bcr regulation	Immune System
dna double strand break repair	DNA Repair
resolution of d loop structures	DNA Repair
homology directed repair	DNA Repair
sensing of dna double strand breaks	DNA Repair
resolution of d loop structures through synthesis dependent strand annealing sdsa	DNA Repair
nonhomologous end joining nhej	DNA Repair
homologous dna pairing and strand exchange	DNA Repair
dna double strand break response	DNA Repair
processing of dna double strand break ends	DNA Repair
cargo concentration in the er	Metabolism of proteins
cargo concentration in the er	Vesicle-mediated transport
dna damage recognition in gg ner	DNA Repair
formation of incision complex in gg ner	DNA Repair
gap filling dna repair synthesis and ligation in gg ner	DNA Repair
nucleotide excision repair	DNA Repair
global genome nucleotide excision repair gg ner	DNA Repair
dual incision in gg ner	DNA Repair
post translational protein modification	Metabolism of proteins
deposition of new cenpa containing nucleosomes at the centromere	Cell Cycle
respiratory electron transport	Metabolism
inflammasomes	Immune System
highly sodium permeable postsynaptic acetylcholine nicotinic receptors	Neuronal System
highly calcium permeable postsynaptic nicotinic acetylcholine receptors	Neuronal System
highly calcium permeable nicotinic acetylcholine receptors	Neuronal System
rna polymerase ii pre transcription events	Gene expression (Transcription)
formation of tc ner pre incision complex	DNA Repair
transcription coupled nucleotide excision repair tc ner	DNA Repair
dual incision in tc ner	DNA Repair
trna modification in the nucleus and cytosol	Metabolism of RNA
synthesis of wybutosine at g37 of trna phe	Metabolism of RNA
fanconi anemia pathway	DNA Repair
interleukin 6 family signaling	Immune System
interleukin 10 signaling	Immune System
trna processing in the nucleus	Metabolism of RNA
trna processing in the mitochondrion	Metabolism of RNA
erbb2 regulates cell motility	Signal Transduction
interleukin 4 and interleukin 13 signaling	Immune System
trna modification in the mitochondrion	Metabolism of RNA
gdp fucose biosynthesis	Metabolism of proteins
il 6 type cytokine receptor ligand interactions	Immune System
rrna modification in the nucleus and cytosol	Metabolism of RNA
tp53 regulates transcription of cell cycle genes	Gene expression (Transcription)
rrna modification in the mitochondrion	Metabolism of RNA
neurexins and neuroligins	Neuronal System
protein protein interactions at synapses	Neuronal System
tp53 regulates transcription of dna repair genes	Gene expression (Transcription)
choline catabolism	Metabolism
neutrophil degranulation	Immune System
complex i biogenesis	Metabolism
metal sequestration by antimicrobial proteins	Immune System
signaling by moderate kinase activity braf mutants	Disease
signaling by braf and raf1 fusions	Disease
ras signaling downstream of nf1 loss of function variants	Disease
oncogenic mapk signaling	Disease
antimicrobial peptides	Immune System
tp53 regulates transcription of genes involved in cytochrome c release	Gene expression (Transcription)
tp53 regulates transcription of several additional cell death genes whose specific roles in p53 dependent apoptosis remain uncertain	Gene expression (Transcription)
tp53 regulates transcription of caspase activators and caspases	Gene expression (Transcription)
tp53 regulates transcription of death receptors and ligands	Gene expression (Transcription)
fgfr2 alternative splicing	Signal Transduction
tp53 regulates transcription of genes involved in g2 cell cycle arrest	Gene expression (Transcription)
tp53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain	Gene expression (Transcription)
tp53 regulates transcription of genes involved in g1 cell cycle arrest	Gene expression (Transcription)
regulation of tp53 activity through phosphorylation	Gene expression (Transcription)
regulation of tp53 activity through acetylation	Gene expression (Transcription)
regulation of tp53 activity through association with co factors	Gene expression (Transcription)
regulation of tp53 activity through methylation	Gene expression (Transcription)
keratinization	Developmental Biology
regulation of tp53 expression and degradation	Gene expression (Transcription)
metabolism of fat soluble vitamins	Metabolism
signaling by met	Signal Transduction
met receptor activation	Signal Transduction
negative regulation of met activity	Signal Transduction
pten regulation	Signal Transduction
rna polymerase ii transcribes snrna genes	Gene expression (Transcription)
copi mediated anterograde transport	Metabolism of proteins
copi mediated anterograde transport	Vesicle-mediated transport
formation of the cornified envelope	Developmental Biology
copi dependent golgi to er retrograde traffic	Vesicle-mediated transport
copi independent golgi to er retrograde traffic	Vesicle-mediated transport
intra golgi traffic	Vesicle-mediated transport
retrograde transport at the trans golgi network	Vesicle-mediated transport
intra golgi and retrograde golgi to er traffic	Vesicle-mediated transport
pi5p regulates tp53 acetylation	Gene expression (Transcription)
cooperation of pdcl phlp1 and tric cct in g protein beta folding	Metabolism of proteins
glycerophospholipid catabolism	Metabolism
assembly of the orc complex at the origin of replication	DNA Replication
cdc6 association with the orc origin complex	DNA Replication
mitotic prophase	Cell Cycle
mitotic prometaphase	Cell Cycle
mitotic telophase cytokinesis	Cell Cycle
m phase	Cell Cycle
g2 phase	Cell Cycle
orc1 removal from chromatin	Cell Cycle
orc1 removal from chromatin	DNA Replication
dna replication initiation	Cell Cycle
dna replication initiation	DNA Replication
activation of the pre replicative complex	Cell Cycle
activation of the pre replicative complex	DNA Replication
dna replication pre initiation	DNA Replication
switching of origins to a post replicative state	Cell Cycle
switching of origins to a post replicative state	DNA Replication
polymerase switching	Cell Cycle
polymerase switching	DNA Replication
processive synthesis on the lagging strand	Cell Cycle
processive synthesis on the lagging strand	DNA Replication
lagging strand synthesis	Cell Cycle
lagging strand synthesis	DNA Replication
dna strand elongation	Cell Cycle
dna strand elongation	DNA Replication
g1 s specific transcription	Cell Cycle
cyclin d associated events in g1	Cell Cycle
synthesis of dna	Cell Cycle
synthesis of dna	DNA Replication
s phase	Cell Cycle
cyclin a b1 b2 associated events during g2 m transition	Cell Cycle
cell cycle mitotic	Cell Cycle
dna replication	DNA Replication
g2 m dna damage checkpoint	Cell Cycle
g2 m dna replication checkpoint	Cell Cycle
g2 m checkpoints	Cell Cycle
stabilization of p53	Cell Cycle
g1 s dna damage checkpoints	Cell Cycle
mitotic spindle checkpoint	Cell Cycle
cell cycle checkpoints	Cell Cycle
cyclin a cdk2 associated events at s phase entry	Cell Cycle
glycolysis	Metabolism
glycogen breakdown glycogenolysis	Metabolism
gluconeogenesis	Metabolism
pyruvate metabolism	Metabolism
glucose metabolism	Metabolism
fructose catabolism	Metabolism
urea cycle	Metabolism
branched chain amino acid catabolism	Metabolism
histidine catabolism	Metabolism
propionyl coa catabolism	Metabolism
lysine catabolism	Metabolism
tryptophan catabolism	Metabolism
creatine metabolism	Metabolism
metabolism of amino acids and derivatives	Metabolism
pentose phosphate pathway	Metabolism
ethanol oxidation	Metabolism
metabolism of carbohydrates	Metabolism
citric acid cycle tca cycle	Metabolism
pyruvate metabolism and citric acid tca cycle	Metabolism
mrna capping	Metabolism of RNA
mrna splicing minor pathway	Metabolism of RNA
mrna splicing	Metabolism of RNA
mrna editing c to u conversion	Metabolism of RNA
transport of mature transcript to cytoplasm	Metabolism of RNA
processing of capped intron containing pre mrna	Metabolism of RNA
trna processing	Metabolism of RNA
rrna processing	Metabolism of RNA
eukaryotic translation initiation	Metabolism of proteins
activation of the mrna upon binding of the cap binding complex and eifs and subsequent binding to 43s	Metabolism of proteins
recycling of eif2 gdp	Metabolism of proteins
translation	Metabolism of proteins
transport of nucleotide sugars	Transport of small molecules
pyrimidine salvage	Metabolism
pyrimidine catabolism	Metabolism
rna polymerase i transcription initiation	Gene expression (Transcription)
rna polymerase i promoter escape	Gene expression (Transcription)
rna polymerase iii chain elongation	Gene expression (Transcription)
purine ribonucleoside monophosphate biosynthesis	Metabolism
rna polymerase ii transcription termination	Gene expression (Transcription)
rna polymerase ii transcription	Gene expression (Transcription)
rna polymerase i transcription termination	Gene expression (Transcription)
rna polymerase i transcription	Gene expression (Transcription)
base excision repair	DNA Repair
chromosome maintenance	Cell Cycle
death receptor signaling	Signal Transduction
dna damage bypass	DNA Repair
dna repair	DNA Repair
base excision repair ap site formation	DNA Repair
resolution of abasic sites ap sites	DNA Repair
dna damage reversal	DNA Repair
rna polymerase iii transcription termination	Gene expression (Transcription)
rna polymerase iii transcription	Gene expression (Transcription)
ketone body metabolism	Metabolism
purine salvage	Metabolism
purine catabolism	Metabolism
irs activation	Signal Transduction
signal attenuation	Signal Transduction
insulin receptor signalling cascade	Signal Transduction
signaling by insulin receptor	Signal Transduction
chk1 chk2 cds1 mediated inactivation of cyclin b cdk1 complex	Cell Cycle
processing of capped intronless pre mrna	Metabolism of RNA
mrna editing	Metabolism of RNA
fatty acyl coa biosynthesis	Metabolism
triglyceride biosynthesis	Metabolism
apoptotic execution phase	Programmed Cell Death
fasl cd95l signaling	Signal Transduction
trail signaling	Signal Transduction
dissolution of fibrin clot	Hemostasis
synthesis of very long chain fatty acyl coas	Metabolism
platelet adhesion to exposed collagen	Hemostasis
tnf signaling	Signal Transduction
platelet activation signaling and aggregation	Hemostasis
response to elevated platelet cytosolic ca2	Hemostasis
platelet aggregation plug formation	Hemostasis
rna polymerase iii transcription initiation from type 1 promoter	Gene expression (Transcription)
rna polymerase iii transcription initiation from type 3 promoter	Gene expression (Transcription)
synthesis of ketone bodies	Metabolism
mitochondrial fatty acid beta oxidation of saturated fatty acids	Metabolism
mitochondrial fatty acid beta oxidation of unsaturated fatty acids	Metabolism
mitochondrial fatty acid beta oxidation	Metabolism
beta oxidation of lauroyl coa to decanoyl coa coa	Metabolism
beta oxidation of decanoyl coa to octanoyl coa coa	Metabolism
beta oxidation of octanoyl coa to hexanoyl coa	Metabolism
beta oxidation of hexanoyl coa to butanoyl coa	Metabolism
beta oxidation of butanoyl coa to acetyl coa	Metabolism
insulin receptor recycling	Signal Transduction
slbp dependent processing of replication dependent histone pre mrnas	Metabolism of RNA
processing of intronless pre mrnas	Metabolism of RNA
transport of fatty acids	Transport of small molecules
transport of nucleosides and free purine and pyrimidine bases across the plasma membrane	Transport of small molecules
the nlrp3 inflammasome	Immune System
interferon gamma signaling	Immune System
regulation of ifng signaling	Immune System
advanced glycosylation endproduct receptor signaling	Immune System
transport of organic anions	Transport of small molecules
gastrin creb signalling pathway via pkc and mapk	Signal Transduction
erbb2 activates ptk6 signaling	Signal Transduction
signaling by ptk6	Signal Transduction
wax and plasmalogen biosynthesis	Metabolism
ptk6 regulates proteins involved in rna processing	Signal Transduction
ptk6 regulates rtks and their effectors akt1 and dok1	Signal Transduction
ptk6 regulates cell cycle	Signal Transduction
ptk6 regulates rho gtpases ras gtpase and map kinases	Signal Transduction
ptk6 expression	Signal Transduction
synaptic adhesion like molecules	Neuronal System
phosphate bond hydrolysis by ntpdase proteins	Metabolism
butyrophilin btn family interactions	Immune System
signaling by fgfr2 iiia tm	Disease
met activates ras signaling	Signal Transduction
met activates pi3k akt signaling	Signal Transduction
protein ubiquitination	Metabolism of proteins
