pathway	colors
alpha oxidation of phytanate	#F39C12
glyoxylate metabolism and glycine degradation	#F39C12
beta oxidation of pristanoyl coa	#F39C12
sumoylation of transcription cofactors	#F7DC6F
pd 1 signaling	#7D6608
cooperation of prefoldin and tric cct in actin and tubulin folding	#F7DC6F
formation of tubulin folding intermediates by cct tric	#F7DC6F
post chaperonin tubulin folding pathway	#F7DC6F
beta oxidation of very long chain fatty acids	#F39C12
folding of actin by cct tric	#F7DC6F
association of tric cct with target proteins during biosynthesis	#F7DC6F
striated muscle contraction	#F0B27A
muscarinic acetylcholine receptors	#1B2631
dopamine receptors	#1B2631
serotonin receptors	#1B2631
adrenoceptors	#1B2631
diseases associated with o glycosylation of proteins	#7FB3D5
peroxisomal lipid metabolism	#F39C12
signal regulatory protein family interactions	#D98880
protein folding	#F7DC6F
eicosanoid ligand binding receptors	#1B2631
leukotriene receptors	#1B2631
prostanoid ligand receptors	#1B2631
nitric oxide stimulates guanylate cyclase	#7DCEA0
adp signalling through p2y purinoceptor 12	#7DCEA0
g beta gamma signalling through pi3kgamma	#1B2631
rap1 signalling	#7D6608
signal amplification	#7DCEA0
prostacyclin signalling through prostacyclin receptor	#7DCEA0
ephb mediated forward signaling	#154360
epha mediated growth cone collapse	#154360
ephrin signaling	#154360
eph ephrin mediated repulsion of cells	#154360
muscle contraction	#F0B27A
g protein beta gamma signalling	#1B2631
trafficking of ampa receptors	#7B7D7D
sema3a pak dependent axon repulsion	#154360
sema3a plexin repulsion signaling by inhibiting integrin adhesion	#154360
crmps in sema3a signaling	#154360
acetylcholine regulates insulin secretion	#F39C12
adrenaline noradrenaline inhibits insulin secretion	#F39C12
regulation of lipid metabolism by pparalpha	#F39C12
circadian clock	#C39BD3
free fatty acids regulate insulin secretion	#F39C12
incretin synthesis secretion and inactivation	#F7DC6F
synthesis secretion and inactivation of glucose dependent insulinotropic polypeptide gip	#F7DC6F
sema4d in semaphorin signaling	#154360
sialic acid metabolism	#F7DC6F
sumoylation of sumoylation proteins	#F7DC6F
ca2 pathway	#1B2631
pcp ce pathway	#1B2631
sumoylation of intracellular receptors	#F7DC6F
g alpha q signalling events	#1B2631
g alpha 12 13 signalling events	#1B2631
sema4d mediated inhibition of cell attachment and migration	#154360
sema4d induced cell migration and growth cone collapse	#154360
other semaphorin interactions	#154360
trafficking of glur2 containing ampa receptors	#7B7D7D
p2y receptors	#1B2631
nucleotide like purinergic receptors	#1B2631
platelet homeostasis	#7DCEA0
reduction of cytosolic ca levels	#7DCEA0
platelet calcium homeostasis	#7DCEA0
cgmp effects	#7DCEA0
g alpha s signalling events	#1B2631
adp signalling through p2y purinoceptor 1	#7DCEA0
g alpha i signalling events	#1B2631
g alpha z signalling events	#1B2631
dcc mediated attractive signaling	#154360
netrin mediated repulsion signals	#154360
caspase activation via dependence receptors in the absence of ligand	#F4F6F7
role of second messengers in netrin 1 signaling	#154360
adherens junctions interactions	#D98880
ncam1 interactions	#154360
lysosphingolipid and lpa receptors	#1B2631
opsins	#1B2631
calcitonin like ligand receptors	#1B2631
tight junction interactions	#D98880
glucagon type ligand receptors	#1B2631
class c 3 metabotropic glutamate pheromone receptors	#1B2631
nectin necl trans heterodimerization	#D98880
cell cell junction organization	#D98880
synthesis secretion and deacylation of ghrelin	#F7DC6F
regulation of insulin secretion	#F39C12
transport of bile salts and organic acids metal ions and amine compounds	#2C3E50
bicarbonate transporters	#2C3E50
transport of inorganic cations anions and amino acids oligopeptides	#2C3E50
transport of vitamins nucleosides and related molecules	#2C3E50
slc mediated transmembrane transport	#2C3E50
metal ion slc transporters	#2C3E50
sodium calcium exchangers	#2C3E50
sodium proton exchangers	#2C3E50
arachidonate production from dag	#7DCEA0
arachidonate production from dag	#1B2631
cation coupled chloride cotransporters	#2C3E50
small interfering rna sirna biogenesis	#2ECC71
post transcriptional silencing by small rnas	#2ECC71
sirt1 negatively regulates rrna expression	#2ECC71
ercc6 csb and ehmt2 g9a positively regulate rrna expression	#2ECC71
multifunctional anion exchangers	#2C3E50
sodium coupled phosphate cotransporters	#2C3E50
sphingolipid metabolism	#F39C12
activation of rac1	#154360
regulation of commissural axon pathfinding by slit and robo	#154360
inactivation of cdc42 and rac1	#154360
organic anion transporters	#2C3E50
role of abl in robo slit signaling	#154360
thromboxane signalling through tp receptor	#7DCEA0
deadenylation dependent mrna decay	#784212
deadenylation of mrna	#784212
mrna decay by 3 to 5 exoribonuclease	#784212
mrna decay by 5 to 3 exoribonuclease	#784212
gp1b ix v activation signalling	#7DCEA0
vasopressin regulates renal water homeostasis via aquaporins	#2C3E50
passive transport by aquaporins	#2C3E50
platelet sensitization by ldl	#7DCEA0
lysosome vesicle biogenesis	#85929E
golgi associated vesicle biogenesis	#85929E
sodium coupled sulphate di and tri carboxylate transporters	#2C3E50
proton coupled monocarboxylate transport	#2C3E50
fatty acids bound to gpr40 ffar1 regulate insulin secretion	#F39C12
zinc transporters	#2C3E50
zinc efflux and compartmentalization by the slc30 family	#2C3E50
recycling pathway of l1	#154360
unblocking of nmda receptors glutamate binding and activation	#7B7D7D
binding of tcf lef ctnnb1 to target gene promoters	#1B2631
depolymerisation of the nuclear lamina	#E74C3C
zinc influx into cells by the slc39 gene family	#2C3E50
na cl dependent neurotransmitter transporters	#2C3E50
creb1 phosphorylation through the activation of adenylate cyclase	#7B7D7D
creb1 phosphorylation through the activation of camkii camkk camkiv cascasde	#7B7D7D
creb1 phosphorylation through nmda receptor mediated activation of ras signaling	#7B7D7D
activation of nmda receptors and postsynaptic events	#7B7D7D
ras activation upon ca2 influx through nmda receptor	#7B7D7D
free fatty acid receptors	#1B2631
rsk activation	#7B7D7D
formyl peptide receptors bind formyl peptides and many other ligands	#1B2631
relaxin receptors	#1B2631
interaction between l1 and ankyrins	#154360
signal transduction by l1	#154360
smooth muscle contraction	#F0B27A
aquaporin mediated transport	#2C3E50
tak1 dependent ikk and nf kappa b activation	#7D6608
type i hemidesmosome assembly	#D98880
biosynthesis of the n glycan precursor dolichol lipid linked oligosaccharide llo and transfer to a nascent protein	#F7DC6F
synthesis of dolichyl phosphate	#F7DC6F
asparagine n linked glycosylation	#F7DC6F
synthesis of gdp mannose	#F7DC6F
synthesis of udp n acetyl glucosamine	#F7DC6F
synthesis of substrates in n glycan biosythesis	#F7DC6F
cell extracellular matrix interactions	#D98880
regulation of cytoskeletal remodeling and cell spreading by ipp complex components	#D98880
interleukin 1 family signaling	#7D6608
cell junction organization	#D98880
nrcam interactions	#154360
chl1 interactions	#154360
neurofascin interactions	#154360
interleukin 12 family signaling	#7D6608
interleukin 17 signaling	#7D6608
interleukin 1 processing	#7D6608
signaling by interleukins	#7D6608
other interleukin signaling	#7D6608
mapk targets nuclear events mediated by map kinases	#7D6608
activated tak1 mediates p38 mapk activation	#7D6608
jnk c jun kinases phosphorylation and activation mediated by activated human tak1	#7D6608
activation of the ap 1 family of transcription factors	#7D6608
butyrate response factor 1 brf1 binds and destabilizes mrna	#784212
auf1 hnrnp d0 binds and destabilizes mrna	#784212
tristetraprolin ttp zfp36 binds and destabilizes mrna	#784212
hur elavl1 binds and stabilizes mrna	#784212
regulation of mrna stability by proteins that bind au rich elements	#784212
ksrp khsrp binds and destabilizes mrna	#784212
ionotropic activity of kainate receptors	#7B7D7D
activation of kainate receptors upon glutamate binding	#7B7D7D
interleukin 2 family signaling	#7D6608
transcriptional regulation of pluripotent stem cells	#154360
mitotic g2 g2 m phases	#E74C3C
mitotic g1 phase and g1 s transition	#E74C3C
sumoylation of chromatin organization proteins	#F7DC6F
thrombin signalling through proteinase activated receptors pars	#7DCEA0
sumoylation of rna binding proteins	#F7DC6F
asymmetric localization of pcp proteins	#1B2631
sumoylation of dna replication proteins	#F7DC6F
degradation of axin	#1B2631
degradation of dvl	#1B2631
disassembly of the destruction complex and recruitment of axin to the membrane	#1B2631
regulation of fzd by ubiquitination	#1B2631
repression of wnt target genes	#1B2631
sumoylation of dna methylation proteins	#F7DC6F
sumoylation of immune response proteins	#F7DC6F
signaling by wnt in cancer	#7FB3D5
signaling by ctnnb1 phospho site mutants	#7FB3D5
interconversion of nucleotide di and triphosphates	#F39C12
presynaptic function of kainate receptors	#7B7D7D
gpcr ligand binding	#1B2631
defective galnt3 causes hftc	#7FB3D5
defective lfng causes scdo3	#7FB3D5
defective c1galt1c1 causes tnps	#7FB3D5
wnt5a dependent internalization of fzd4	#1B2631
interleukin 3 interleukin 5 and gm csf signaling	#7D6608
wnt5a dependent internalization of fzd2 fzd5 and ror2	#1B2631
o linked glycosylation	#F7DC6F
o glycosylation of tsr domain containing proteins	#F7DC6F
mitophagy	#641E16
pink1 prkn mediated mitophagy	#641E16
uptake and function of anthrax toxins	#7FB3D5
ripk1 mediated regulated necrosis	#F4F6F7
regulated necrosis	#F4F6F7
vegfr2 mediated vascular permeability	#1B2631
vegfr2 mediated cell proliferation	#1B2631
miscellaneous transport and binding events	#2C3E50
positive epigenetic regulation of rrna expression	#2ECC71
b wich complex positively regulates rrna expression	#2ECC71
negative epigenetic regulation of rrna expression	#2ECC71
toxicity of botulinum toxin type d botd	#7FB3D5
myogenesis	#154360
diseases of immune system	#7FB3D5
n glycan trimming in the er and calnexin calreticulin cycle	#F7DC6F
dna methylation	#2ECC71
uptake and function of diphtheria toxin	#7FB3D5
uptake and actions of bacterial toxins	#7FB3D5
signaling by lrp5 mutants	#7FB3D5
signaling by rnf43 mutants	#7FB3D5
caspase activation via extrinsic apoptotic signalling pathway	#F4F6F7
tnfr1 induced proapoptotic signaling	#1B2631
programmed cell death	#F4F6F7
tnfr1 induced nfkappab signaling pathway	#1B2631
hedgehog ligand biogenesis	#1B2631
signaling by hedgehog	#1B2631
synthesis of diphthamide eef2	#F7DC6F
mismatch repair	#0E6251
signaling by retinoic acid	#1B2631
release of hh np from the secreting cell	#1B2631
ra biosynthesis pathway	#1B2631
mitochondrial translation	#F7DC6F
negative regulation of tcf dependent signaling by dvl interacting proteins	#1B2631
diseases of mismatch repair mmr	#7FB3D5
aflatoxin activation and detoxification	#F39C12
organic cation transport	#2C3E50
organic cation anion zwitterion transport	#2C3E50
metabolism of lipids	#F39C12
phase 4 resting membrane potential	#F0B27A
phase 3 rapid repolarisation	#F0B27A
cardiac conduction	#F0B27A
phase 0 rapid depolarisation	#F0B27A
phase 2 plateau phase	#F0B27A
phase 1 inactivation of fast na channels	#F0B27A
transcriptional regulation by small rnas	#2ECC71
physiological factors	#F0B27A
ion homeostasis	#F0B27A
metabolic disorders of biological oxidation enzymes	#7FB3D5
piwi interacting rna pirna biogenesis	#2ECC71
ikba variant leads to eda id	#7FB3D5
irak4 deficiency tlr2 4	#7FB3D5
dectin 1 mediated noncanonical nf kb signaling	#7D6608
clec7a dectin 1 induces nfat activation	#7D6608
clec7a dectin 1 signaling	#7D6608
diseases associated with glycosylation precursor biosynthesis	#7FB3D5
organic anion transport	#2C3E50
degradation of gli1 by the proteasome	#1B2631
hedgehog off state	#1B2631
activation of anterior hox genes in hindbrain development during early embryogenesis	#154360
cilium assembly	#BDC3C7
abc transporter disorders	#7FB3D5
slc transporter disorders	#7FB3D5
disorders of transmembrane transporters	#7FB3D5
anchoring of the basal body to the plasma membrane	#BDC3C7
vxpx cargo targeting to cilium	#BDC3C7
cargo trafficking to the periciliary membrane	#BDC3C7
bbsome mediated cargo targeting to cilium	#BDC3C7
intraflagellar transport	#BDC3C7
pyroptosis	#F4F6F7
dectin 2 family	#7D6608
c type lectin receptors clrs	#7D6608
cd209 dc sign signaling	#7D6608
trafficking of myristoylated proteins to the cilium	#BDC3C7
rho gtpases activate pkns	#1B2631
activated pkn1 stimulates transcription of ar androgen receptor regulated genes klk2 and klk3	#1B2631
rho gtpases activate cit	#1B2631
rho gtpases activate ktn1	#1B2631
rho gtpases activate iqgaps	#1B2631
tnfr1 mediated ceramide production	#1B2631
rho gtpases activate rocks	#1B2631
rho gtpases activate paks	#1B2631
tp53 regulates metabolic genes	#2ECC71
ligand receptor interactions	#1B2631
hedgehog on state	#1B2631
regulation of tp53 activity	#2ECC71
tp53 regulates transcription of cell death genes	#2ECC71
activation of smo	#1B2631
gli proteins bind promoters of hh responsive genes to promote transcription	#1B2631
constitutive signaling by egfrviii	#7FB3D5
apex1 independent resolution of ap sites via the single nucleotide replacement pathway	#0E6251
pcna dependent long patch base excision repair	#0E6251
fructose metabolism	#F39C12
vesicle mediated transport	#85929E
phospholipase c mediated cascade fgfr2	#1B2631
phospholipase c mediated cascade fgfr4	#1B2631
downstream signaling of activated fgfr1	#1B2631
shc mediated cascade fgfr1	#1B2631
pi 3k cascade fgfr1	#1B2631
frs mediated fgfr1 signaling	#1B2631
pi 3k cascade fgfr2	#1B2631
downstream signaling of activated fgfr2	#1B2631
frs mediated fgfr2 signaling	#1B2631
shc mediated cascade fgfr3	#1B2631
frs mediated fgfr3 signaling	#1B2631
downstream signaling of activated fgfr3	#1B2631
pi 3k cascade fgfr3	#1B2631
frs mediated fgfr4 signaling	#1B2631
downstream signaling of activated fgfr4	#1B2631
shc mediated cascade fgfr4	#1B2631
pi 3k cascade fgfr4	#1B2631
negative regulation of fgfr1 signaling	#1B2631
negative regulation of fgfr2 signaling	#1B2631
negative regulation of fgfr3 signaling	#1B2631
negative regulation of fgfr4 signaling	#1B2631
signaling by fgfr1	#1B2631
signaling by fgfr2	#1B2631
signaling by fgfr3	#1B2631
signaling by fgfr4	#1B2631
signaling by fgfr2 in disease	#7FB3D5
signaling by fgfr4 in disease	#7FB3D5
signaling by fgfr1 in disease	#7FB3D5
translesion synthesis by polk	#0E6251
termination of translesion dna synthesis	#0E6251
regulation of ras by gaps	#1B2631
fgfrl1 modulation of fgfr1 signaling	#1B2631
response to metal ions	#512E5F
clec7a inflammasome pathway	#7D6608
metallothioneins bind metals	#512E5F
formation of xylulose 5 phosphate	#F39C12
melanin biosynthesis	#F39C12
diseases of carbohydrate metabolism	#7FB3D5
diseases of signal transduction by growth factor receptors and second messengers	#7FB3D5
infectious disease	#7FB3D5
rho gtpases activate wasps and waves	#1B2631
rho gtpases activate formins	#1B2631
rho gtpases activate rhotekin and rhophilins	#1B2631
tnfr2 non canonical nf kb pathway	#7D6608
rho gtpases activate nadph oxidases	#1B2631
diseases of metabolism	#7FB3D5
tnfs bind their physiological receptors	#7D6608
raf activation	#1B2631
map2k and mapk activation	#1B2631
constitutive signaling by akt1 e17k in cancer	#7FB3D5
negative feedback regulation of mapk pathway	#1B2631
negative regulation of mapk pathway	#1B2631
tnf receptor superfamily tnfsf members mediating non canonical nf kb pathway	#7D6608
protein repair	#F7DC6F
defective cftr causes cystic fibrosis	#7FB3D5
lgi adam interactions	#154360
mapk family signaling cascades	#1B2631
surfactant metabolism	#F7DC6F
map3k8 tpl2 dependent mapk1 3 activation	#7D6608
hdr through single strand annealing ssa	#0E6251
hdr through mmej alt nhej	#0E6251
hdr through homologous recombination hrr	#0E6251
regulation of tlr by endogenous ligand	#7D6608
mapk6 mapk4 signaling	#1B2631
diseases associated with surfactant metabolism	#7FB3D5
deubiquitination	#F7DC6F
defective csf2rb causes smdp5	#7FB3D5
uch proteinases	#F7DC6F
josephin domain dubs	#F7DC6F
ub specific processing proteases	#F7DC6F
ovarian tumor domain proteases	#F7DC6F
metalloprotease dubs	#F7DC6F
cd22 mediated bcr regulation	#7D6608
dna double strand break repair	#0E6251
resolution of d loop structures	#0E6251
homology directed repair	#0E6251
sensing of dna double strand breaks	#0E6251
resolution of d loop structures through synthesis dependent strand annealing sdsa	#0E6251
nonhomologous end joining nhej	#0E6251
homologous dna pairing and strand exchange	#0E6251
dna double strand break response	#0E6251
processing of dna double strand break ends	#0E6251
cargo concentration in the er	#F7DC6F
cargo concentration in the er	#85929E
dna damage recognition in gg ner	#0E6251
formation of incision complex in gg ner	#0E6251
gap filling dna repair synthesis and ligation in gg ner	#0E6251
nucleotide excision repair	#0E6251
global genome nucleotide excision repair gg ner	#0E6251
dual incision in gg ner	#0E6251
post translational protein modification	#F7DC6F
deposition of new cenpa containing nucleosomes at the centromere	#E74C3C
respiratory electron transport	#F39C12
inflammasomes	#7D6608
highly sodium permeable postsynaptic acetylcholine nicotinic receptors	#7B7D7D
highly calcium permeable postsynaptic nicotinic acetylcholine receptors	#7B7D7D
highly calcium permeable nicotinic acetylcholine receptors	#7B7D7D
rna polymerase ii pre transcription events	#2ECC71
formation of tc ner pre incision complex	#0E6251
transcription coupled nucleotide excision repair tc ner	#0E6251
dual incision in tc ner	#0E6251
trna modification in the nucleus and cytosol	#784212
synthesis of wybutosine at g37 of trna phe	#784212
fanconi anemia pathway	#0E6251
interleukin 6 family signaling	#7D6608
interleukin 10 signaling	#7D6608
trna processing in the nucleus	#784212
trna processing in the mitochondrion	#784212
erbb2 regulates cell motility	#1B2631
interleukin 4 and interleukin 13 signaling	#7D6608
trna modification in the mitochondrion	#784212
gdp fucose biosynthesis	#F7DC6F
il 6 type cytokine receptor ligand interactions	#7D6608
rrna modification in the nucleus and cytosol	#784212
tp53 regulates transcription of cell cycle genes	#2ECC71
rrna modification in the mitochondrion	#784212
neurexins and neuroligins	#7B7D7D
protein protein interactions at synapses	#7B7D7D
tp53 regulates transcription of dna repair genes	#2ECC71
choline catabolism	#F39C12
neutrophil degranulation	#7D6608
complex i biogenesis	#F39C12
metal sequestration by antimicrobial proteins	#7D6608
signaling by moderate kinase activity braf mutants	#7FB3D5
signaling by braf and raf1 fusions	#7FB3D5
ras signaling downstream of nf1 loss of function variants	#7FB3D5
oncogenic mapk signaling	#7FB3D5
antimicrobial peptides	#7D6608
tp53 regulates transcription of genes involved in cytochrome c release	#2ECC71
tp53 regulates transcription of several additional cell death genes whose specific roles in p53 dependent apoptosis remain uncertain	#2ECC71
tp53 regulates transcription of caspase activators and caspases	#2ECC71
tp53 regulates transcription of death receptors and ligands	#2ECC71
fgfr2 alternative splicing	#1B2631
tp53 regulates transcription of genes involved in g2 cell cycle arrest	#2ECC71
tp53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain	#2ECC71
tp53 regulates transcription of genes involved in g1 cell cycle arrest	#2ECC71
regulation of tp53 activity through phosphorylation	#2ECC71
regulation of tp53 activity through acetylation	#2ECC71
regulation of tp53 activity through association with co factors	#2ECC71
regulation of tp53 activity through methylation	#2ECC71
keratinization	#154360
regulation of tp53 expression and degradation	#2ECC71
metabolism of fat soluble vitamins	#F39C12
signaling by met	#1B2631
met receptor activation	#1B2631
negative regulation of met activity	#1B2631
pten regulation	#1B2631
rna polymerase ii transcribes snrna genes	#2ECC71
copi mediated anterograde transport	#F7DC6F
copi mediated anterograde transport	#85929E
formation of the cornified envelope	#154360
copi dependent golgi to er retrograde traffic	#85929E
copi independent golgi to er retrograde traffic	#85929E
intra golgi traffic	#85929E
retrograde transport at the trans golgi network	#85929E
intra golgi and retrograde golgi to er traffic	#85929E
pi5p regulates tp53 acetylation	#2ECC71
cooperation of pdcl phlp1 and tric cct in g protein beta folding	#F7DC6F
glycerophospholipid catabolism	#F39C12
assembly of the orc complex at the origin of replication	#16A085
cdc6 association with the orc origin complex	#16A085
mitotic prophase	#E74C3C
mitotic prometaphase	#E74C3C
mitotic telophase cytokinesis	#E74C3C
m phase	#E74C3C
g2 phase	#E74C3C
orc1 removal from chromatin	#E74C3C
orc1 removal from chromatin	#16A085
dna replication initiation	#E74C3C
dna replication initiation	#16A085
activation of the pre replicative complex	#E74C3C
activation of the pre replicative complex	#16A085
dna replication pre initiation	#16A085
switching of origins to a post replicative state	#E74C3C
switching of origins to a post replicative state	#16A085
polymerase switching	#E74C3C
polymerase switching	#16A085
processive synthesis on the lagging strand	#E74C3C
processive synthesis on the lagging strand	#16A085
lagging strand synthesis	#E74C3C
lagging strand synthesis	#16A085
dna strand elongation	#E74C3C
dna strand elongation	#16A085
g1 s specific transcription	#E74C3C
cyclin d associated events in g1	#E74C3C
synthesis of dna	#E74C3C
synthesis of dna	#16A085
s phase	#E74C3C
cyclin a b1 b2 associated events during g2 m transition	#E74C3C
cell cycle mitotic	#E74C3C
dna replication	#16A085
g2 m dna damage checkpoint	#E74C3C
g2 m dna replication checkpoint	#E74C3C
g2 m checkpoints	#E74C3C
stabilization of p53	#E74C3C
g1 s dna damage checkpoints	#E74C3C
mitotic spindle checkpoint	#E74C3C
cell cycle checkpoints	#E74C3C
cyclin a cdk2 associated events at s phase entry	#E74C3C
glycolysis	#F39C12
glycogen breakdown glycogenolysis	#F39C12
gluconeogenesis	#F39C12
pyruvate metabolism	#F39C12
glucose metabolism	#F39C12
fructose catabolism	#F39C12
urea cycle	#F39C12
branched chain amino acid catabolism	#F39C12
histidine catabolism	#F39C12
propionyl coa catabolism	#F39C12
lysine catabolism	#F39C12
tryptophan catabolism	#F39C12
creatine metabolism	#F39C12
metabolism of amino acids and derivatives	#F39C12
pentose phosphate pathway	#F39C12
ethanol oxidation	#F39C12
metabolism of carbohydrates	#F39C12
citric acid cycle tca cycle	#F39C12
pyruvate metabolism and citric acid tca cycle	#F39C12
mrna capping	#784212
mrna splicing minor pathway	#784212
mrna splicing	#784212
mrna editing c to u conversion	#784212
transport of mature transcript to cytoplasm	#784212
processing of capped intron containing pre mrna	#784212
trna processing	#784212
rrna processing	#784212
eukaryotic translation initiation	#F7DC6F
activation of the mrna upon binding of the cap binding complex and eifs and subsequent binding to 43s	#F7DC6F
recycling of eif2 gdp	#F7DC6F
translation	#F7DC6F
transport of nucleotide sugars	#2C3E50
pyrimidine salvage	#F39C12
pyrimidine catabolism	#F39C12
rna polymerase i transcription initiation	#2ECC71
rna polymerase i promoter escape	#2ECC71
rna polymerase iii chain elongation	#2ECC71
purine ribonucleoside monophosphate biosynthesis	#F39C12
rna polymerase ii transcription termination	#2ECC71
rna polymerase ii transcription	#2ECC71
rna polymerase i transcription termination	#2ECC71
rna polymerase i transcription	#2ECC71
base excision repair	#0E6251
chromosome maintenance	#E74C3C
death receptor signaling	#1B2631
dna damage bypass	#0E6251
dna repair	#0E6251
base excision repair ap site formation	#0E6251
resolution of abasic sites ap sites	#0E6251
dna damage reversal	#0E6251
rna polymerase iii transcription termination	#2ECC71
rna polymerase iii transcription	#2ECC71
ketone body metabolism	#F39C12
purine salvage	#F39C12
purine catabolism	#F39C12
irs activation	#1B2631
signal attenuation	#1B2631
insulin receptor signalling cascade	#1B2631
signaling by insulin receptor	#1B2631
chk1 chk2 cds1 mediated inactivation of cyclin b cdk1 complex	#E74C3C
processing of capped intronless pre mrna	#784212
mrna editing	#784212
fatty acyl coa biosynthesis	#F39C12
triglyceride biosynthesis	#F39C12
apoptotic execution phase	#F4F6F7
fasl cd95l signaling	#1B2631
trail signaling	#1B2631
dissolution of fibrin clot	#7DCEA0
synthesis of very long chain fatty acyl coas	#F39C12
platelet adhesion to exposed collagen	#7DCEA0
tnf signaling	#1B2631
platelet activation signaling and aggregation	#7DCEA0
response to elevated platelet cytosolic ca2	#7DCEA0
platelet aggregation plug formation	#7DCEA0
rna polymerase iii transcription initiation from type 1 promoter	#2ECC71
rna polymerase iii transcription initiation from type 3 promoter	#2ECC71
synthesis of ketone bodies	#F39C12
mitochondrial fatty acid beta oxidation of saturated fatty acids	#F39C12
mitochondrial fatty acid beta oxidation of unsaturated fatty acids	#F39C12
mitochondrial fatty acid beta oxidation	#F39C12
beta oxidation of lauroyl coa to decanoyl coa coa	#F39C12
beta oxidation of decanoyl coa to octanoyl coa coa	#F39C12
beta oxidation of octanoyl coa to hexanoyl coa	#F39C12
beta oxidation of hexanoyl coa to butanoyl coa	#F39C12
beta oxidation of butanoyl coa to acetyl coa	#F39C12
insulin receptor recycling	#1B2631
slbp dependent processing of replication dependent histone pre mrnas	#784212
processing of intronless pre mrnas	#784212
transport of fatty acids	#2C3E50
transport of nucleosides and free purine and pyrimidine bases across the plasma membrane	#2C3E50
the nlrp3 inflammasome	#7D6608
interferon gamma signaling	#7D6608
regulation of ifng signaling	#7D6608
advanced glycosylation endproduct receptor signaling	#7D6608
transport of organic anions	#2C3E50
gastrin creb signalling pathway via pkc and mapk	#1B2631
erbb2 activates ptk6 signaling	#1B2631
signaling by ptk6	#1B2631
wax and plasmalogen biosynthesis	#F39C12
ptk6 regulates proteins involved in rna processing	#1B2631
ptk6 regulates rtks and their effectors akt1 and dok1	#1B2631
ptk6 regulates cell cycle	#1B2631
ptk6 regulates rho gtpases ras gtpase and map kinases	#1B2631
ptk6 expression	#1B2631
synaptic adhesion like molecules	#7B7D7D
phosphate bond hydrolysis by ntpdase proteins	#F39C12
butyrophilin btn family interactions	#7D6608
signaling by fgfr2 iiia tm	#7FB3D5
met activates ras signaling	#1B2631
met activates pi3k akt signaling	#1B2631
protein ubiquitination	#F7DC6F
the role of gtse1 in g2 m progression after g2 checkpoint	#E74C3C
signaling by mst1	#1B2631
ret signaling	#154360
transcriptional regulation by ventx	#2ECC71
tbc rabgaps	#85929E
aurka activation by tpx2	#E74C3C
interleukin 20 family signaling	#7D6608
golgi to er retrograde transport	#85929E
cargo recognition for clathrin mediated endocytosis	#85929E
clathrin mediated endocytosis	#85929E
ptk6 promotes hif1a stabilization	#1B2631
downregulation of erbb2 signaling	#1B2631
transcriptional regulation by the ap 2 tfap2 family of transcription factors	#2ECC71
met activates ptpn11	#1B2631
reelin signalling pathway	#154360
vldl assembly	#2C3E50
vldlr internalisation and degradation	#2C3E50
synthesis of active ubiquitin roles of e1 and e2 enzymes	#F7DC6F
e3 ubiquitin ligases ubiquitinate target proteins	#F7DC6F
negative regulation of activity of tfap2 ap 2 family transcription factors	#2ECC71
activation of the tfap2 ap 2 family of transcription factors	#2ECC71
tfap2 ap 2 family regulates transcription of growth factors and their receptors	#2ECC71
tfap2 ap 2 family regulates transcription of cell cycle factors	#2ECC71
rrna processing in the mitochondrion	#784212
tfap2a acts as a transcriptional repressor during retinoic acid induced cell differentiation	#2ECC71
rab geranylgeranylation	#F7DC6F
met activates ptk2 signaling	#1B2631
creb3 factors activate genes	#512E5F
inlb mediated entry of listeria monocytogenes into host cell	#7FB3D5
met interacts with tns proteins	#1B2631
met activates rap1 and rac1	#1B2631
met receptor recycling	#1B2631
met promotes cell motility	#1B2631
rab gefs exchange gtp for gdp on rabs	#85929E
listeria monocytogenes entry into host cells	#7FB3D5
inla mediated entry of listeria monocytogenes into host cells	#7FB3D5
protein methylation	#F7DC6F
runx1 and foxp3 control the development of regulatory t lymphocytes tregs	#2ECC71
transcriptional regulation by runx3	#2ECC71
transcriptional regulation by runx2	#2ECC71
transcriptional regulation by runx1	#2ECC71
gaba synthesis release reuptake and degradation	#7B7D7D
runx1 regulates estrogen receptor mediated transcription	#2ECC71
regulation of runx1 expression and activity	#2ECC71
receptor mediated mitophagy	#641E16
digestion	#3498DB
runx1 regulates expression of components of tight junctions	#2ECC71
runx1 regulates genes involved in megakaryocyte differentiation and platelet function	#2ECC71
aryl hydrocarbon receptor signalling	#F39C12
esr mediated signaling	#1B2631
runx1 regulates transcription of genes involved in differentiation of hscs	#2ECC71
runx1 regulates transcription of genes involved in differentiation of keratinocytes	#2ECC71
runx1 interacts with co factors whose precise effect on runx1 targets is not known	#2ECC71
runx1 regulates transcription of genes involved in bcr signaling	#2ECC71
runx1 regulates transcription of genes involved in differentiation of myeloid cells	#2ECC71
runx1 regulates transcription of genes involved in interleukin signaling	#2ECC71
runx1 regulates transcription of genes involved in wnt signaling	#2ECC71
regulation of runx2 expression and activity	#2ECC71
runx2 regulates osteoblast differentiation	#2ECC71
runx2 regulates chondrocyte maturation	#2ECC71
runx2 regulates bone development	#2ECC71
runx2 regulates genes involved in cell migration	#2ECC71
runx3 regulates cdkn1a transcription	#2ECC71
runx3 regulates notch signaling	#2ECC71
regulation of runx3 expression and activity	#2ECC71
regulation of pten mrna translation	#1B2631
