Disease	pathway	sex	alteration	colors	id
D72	cell cycle checkpoints	women	up	#B6453A	13
D72	activation of the pre replicative complex	women	up	#B6453A	13
D72	response of eif2ak4 gcn2 to amino acid deficiency	women	up	#B6453A	13
D72	collagen degradation	men	up	#4A75A9	13
D72	interferon alpha beta signaling	women	down	#B6453A	13
D72	immunoregulatory interactions between a lymphoid and a non lymphoid cell	men	down	#4A75A9	13
D72	generation of second messenger molecules	men	down	#4A75A9	13
D72	collagen degradation	men	up	#4A75A9	14
D72	interferon alpha beta signaling	women	down	#B6453A	14
D72	eukaryotic translation elongation	men	down	#4A75A9	14
D72	selenoamino acid metabolism	men	down	#4A75A9	14
D72	srp dependent cotranslational protein targeting to membrane	men	down	#4A75A9	14
D72	response of eif2ak4 gcn2 to amino acid deficiency	men	down	#4A75A9	14
D72	nonsense mediated decay nmd	men	down	#4A75A9	14
D72	sars cov 1 modulates host translation machinery	men	down	#4A75A9	14
D72	immunoregulatory interactions between a lymphoid and a non lymphoid cell	men	down	#4A75A9	14
D72	generation of second messenger molecules	men	down	#4A75A9	14
D47	collagen degradation	common	up	#19787F	15
D47	chromatin modifying enzymes	common	down	#19787F	15
D47	rhobtb2 gtpase cycle	common	down	#19787F	15
D47	potential therapeutics for sars	common	down	#19787F	15
D47	interleukin 3 interleukin 5 and gm csf signaling	common	down	#19787F	15
D47	interleukin 2 family signaling	common	down	#19787F	15
D47	caspase activation via extrinsic apoptotic signalling pathway	common	down	#19787F	15
D47	fceri mediated ca 2 mobilization	common	down	#19787F	15
D47	sumoylation of transcription cofactors	common	down	#19787F	15
D47	formation of the beta catenin tcf transactivating complex	common	down	#19787F	15
D47	immunoregulatory interactions between a lymphoid and a non lymphoid cell	common	down	#19787F	15
D47	antigen activates b cell receptor bcr leading to generation of second messengers	common	down	#19787F	15
D47	regulation of tp53 activity through acetylation	common	down	#19787F	15
D47	hdms demethylate histones	common	down	#19787F	15
D47	costimulation by the cd28 family	common	down	#19787F	15
D47	generation of second messenger molecules	common	down	#19787F	15
D47	signaling by scf kit	common	down	#19787F	15
D47	pd 1 signaling	common	down	#19787F	15
D47	sars cov 2 activates modulates innate and adaptive immune responses	women	down	#B6453A	15
D47	sars cov infections	women	down	#B6453A	15
D47	pkmts methylate histone lysines	women	down	#B6453A	15
D47	antigen presentation folding assembly and peptide loading of class i mhc	women	down	#B6453A	15
D47	the role of nef in hiv 1 replication and disease pathogenesis	women	down	#B6453A	15
D47	leishmania infection	women	down	#B6453A	15
D47	nucleotide binding domain leucine rich repeat containing receptor nlr signaling pathways	women	down	#B6453A	15
D47	zbp1 dai mediated induction of type i ifns	women	down	#B6453A	15
D47	myd88 independent tlr4 cascade	women	down	#B6453A	15
D47	inflammasomes	women	down	#B6453A	15
D47	toll like receptor cascades	women	down	#B6453A	15
D47	fcgamma receptor fcgr dependent phagocytosis	women	down	#B6453A	15
D47	regulation of mecp2 expression and activity	women	down	#B6453A	15
D47	interleukin receptor shc signaling	women	down	#B6453A	15
D47	parasite infection	women	down	#B6453A	15
D47	signaling by interleukins	women	down	#B6453A	15
D47	estrogen dependent gene expression	women	down	#B6453A	15
D47	toll like receptor 9 tlr9 cascade	women	down	#B6453A	15
D47	fceri mediated mapk activation	women	down	#B6453A	15
D47	rho gtpase cycle	women	down	#B6453A	15
D47	cd28 co stimulation	women	down	#B6453A	15
D47	tak1 dependent ikk and nf kappa b activation	women	down	#B6453A	15
D47	ripk1 mediated regulated necrosis	women	down	#B6453A	15
D47	gpvi mediated activation cascade	women	down	#B6453A	15
D47	toll like receptor tlr1 tlr2 cascade	women	down	#B6453A	15
D47	death receptor signaling	women	down	#B6453A	15
D47	ephb mediated forward signaling	women	down	#B6453A	15
D47	traf6 mediated nf kb activation	women	down	#B6453A	15
D47	semaphorin interactions	women	down	#B6453A	15
D47	diseases of immune system	women	down	#B6453A	15
D47	signaling by kit in disease	women	down	#B6453A	15
D47	other interleukin signaling	women	down	#B6453A	15
D47	g beta gamma signalling through pi3kgamma	women	down	#B6453A	15
D47	pre notch processing in golgi	women	down	#B6453A	15
D47	regulated necrosis	women	down	#B6453A	15
D47	nod1 2 signaling pathway	women	down	#B6453A	15
D47	effects of pip2 hydrolysis	women	down	#B6453A	15
D47	anti inflammatory response favouring leishmania parasite infection	women	down	#B6453A	15
D47	signaling by nuclear receptors	women	down	#B6453A	15
D47	esr mediated signaling	women	down	#B6453A	15
D47	fcgr3a mediated il10 synthesis	women	down	#B6453A	15
D47	processing of capped intron containing pre mrna	men	down	#4A75A9	15
D47	mrna splicing	men	down	#4A75A9	15
D47	transport of mature transcript to cytoplasm	men	down	#4A75A9	15
D47	rna polymerase ii transcription termination	men	down	#4A75A9	15
D47	sumoylation of chromatin organization proteins	men	down	#4A75A9	15
D47	sumoylation of rna binding proteins	men	down	#4A75A9	15
D47	signaling by alk in cancer	men	down	#4A75A9	15
D47	rhobtb gtpase cycle	men	down	#4A75A9	15
D47	rrna modification in the nucleus and cytosol	men	down	#4A75A9	15
D47	collagen degradation	men	up	#4A75A9	16
D47	translation	men	down	#4A75A9	16
D47	eukaryotic translation initiation	men	down	#4A75A9	16
D47	nonsense mediated decay nmd	men	down	#4A75A9	16
D47	influenza infection	men	down	#4A75A9	16
D47	selenoamino acid metabolism	men	down	#4A75A9	16
D47	eukaryotic translation elongation	men	down	#4A75A9	16
D47	srp dependent cotranslational protein targeting to membrane	men	down	#4A75A9	16
D47	response of eif2ak4 gcn2 to amino acid deficiency	men	down	#4A75A9	16
D47	cellular response to starvation	men	down	#4A75A9	16
D47	sars cov 1 modulates host translation machinery	men	down	#4A75A9	16
D47	generation of second messenger molecules	men	down	#4A75A9	16
D47	sars cov 2 modulates host translation machinery	men	down	#4A75A9	16
D47	immunoregulatory interactions between a lymphoid and a non lymphoid cell	men	down	#4A75A9	16
D46	mitochondrial fatty acid beta oxidation	women	up	#B6453A	17
D46	mitochondrial translation	women	up	#B6453A	17
D46	glutathione conjugation	women	up	#B6453A	17
D46	activation of the pre replicative complex	women	up	#B6453A	17
D46	metabolism of porphyrins	women	up	#B6453A	17
D46	global genome nucleotide excision repair gg ner	women	up	#B6453A	17
D46	synthesis of dna	women	up	#B6453A	17
D46	dna replication pre initiation	women	up	#B6453A	17
D46	the citric acid tca cycle and respiratory electron transport	women	up	#B6453A	17
D46	dual incision in gg ner	women	up	#B6453A	17
D46	recognition of dna damage by pcna containing replication complex	women	up	#B6453A	17
D46	dna replication	women	up	#B6453A	17
D46	pcna dependent long patch base excision repair	women	up	#B6453A	17
D46	gap filling dna repair synthesis and ligation in gg ner	women	up	#B6453A	17
D46	respiratory electron transport	women	up	#B6453A	17
D46	e2f mediated regulation of dna replication	women	up	#B6453A	17
D46	switching of origins to a post replicative state	women	up	#B6453A	17
D46	respiratory electron transport atp synthesis by chemiosmotic coupling and heat production by uncoupling proteins	women	up	#B6453A	17
D46	resolution of ap sites via the multiple nucleotide patch replacement pathway	women	up	#B6453A	17
D46	orc1 removal from chromatin	women	up	#B6453A	17
D46	dna strand elongation	women	up	#B6453A	17
D46	antigen activates b cell receptor bcr leading to generation of second messengers	men	down	#4A75A9	17
D46	costimulation by the cd28 family	men	down	#4A75A9	17
D46	immunoregulatory interactions between a lymphoid and a non lymphoid cell	men	down	#4A75A9	17
D46	formation of the beta catenin tcf transactivating complex	men	down	#4A75A9	17
D46	interleukin 7 signaling	men	down	#4A75A9	17
D46	effects of pip2 hydrolysis	men	down	#4A75A9	17
D46	generation of second messenger molecules	men	down	#4A75A9	17
D46	pd 1 signaling	men	down	#4A75A9	17
D46	processing of capped intron containing pre mrna	men	down	#4A75A9	17
D46	mrna splicing	men	down	#4A75A9	17
D46	interleukin 2 family signaling	men	down	#4A75A9	17
D46	hdms demethylate histones	men	down	#4A75A9	17
D46	sumoylation of transcription cofactors	men	down	#4A75A9	17
D46	mitochondrial translation	women	up	#B6453A	18
D46	protein localization	women	up	#B6453A	18
D46	activation of the pre replicative complex	women	up	#B6453A	18
D46	nuclear events mediated by nfe2l2	women	up	#B6453A	18
D46	keap1 nfe2l2 pathway	women	up	#B6453A	18
D46	synthesis of dna	women	up	#B6453A	18
D46	pcp ce pathway	women	up	#B6453A	18
D46	dna replication pre initiation	women	up	#B6453A	18
D46	the citric acid tca cycle and respiratory electron transport	women	up	#B6453A	18
D46	metabolism of polyamines	women	up	#B6453A	18
D46	glucose metabolism	women	up	#B6453A	18
D46	dna replication	women	up	#B6453A	18
D46	respiratory electron transport	women	up	#B6453A	18
D46	switching of origins to a post replicative state	women	up	#B6453A	18
D46	respiratory electron transport atp synthesis by chemiosmotic coupling and heat production by uncoupling proteins	women	up	#B6453A	18
D46	orc1 removal from chromatin	women	up	#B6453A	18
D46	the role of gtse1 in g2 m progression after g2 checkpoint	women	up	#B6453A	18
D46	immunoregulatory interactions between a lymphoid and a non lymphoid cell	men	down	#4A75A9	18
D46	generation of second messenger molecules	men	down	#4A75A9	18
D46	nephrin family interactions	common	down	#19787F	19
D46	antigen activates b cell receptor bcr leading to generation of second messengers	men	down	#4A75A9	19
D46	signaling by the b cell receptor bcr	men	down	#4A75A9	19
D46	costimulation by the cd28 family	men	down	#4A75A9	19
D46	antigen presentation folding assembly and peptide loading of class i mhc	men	down	#4A75A9	19
D46	immunoregulatory interactions between a lymphoid and a non lymphoid cell	men	down	#4A75A9	19
D46	formation of the beta catenin tcf transactivating complex	men	down	#4A75A9	19
D46	circadian clock	men	down	#4A75A9	19
D46	tcr signaling	men	down	#4A75A9	19
D46	generation of second messenger molecules	men	down	#4A75A9	19
D46	pd 1 signaling	men	down	#4A75A9	19
D46	processing of capped intron containing pre mrna	men	down	#4A75A9	19
D46	mrna splicing	men	down	#4A75A9	19
D46	signaling by cytosolic fgfr1 fusion mutants	men	down	#4A75A9	19
D46	interleukin 2 family signaling	men	down	#4A75A9	19
D46	hdms demethylate histones	men	down	#4A75A9	19
D46	mitochondrial calcium ion transport	men	down	#4A75A9	19
D46	fc epsilon receptor fceri signaling	men	down	#4A75A9	19
D46	clec7a dectin 1 signaling	men	down	#4A75A9	19
D46	ub specific processing proteases	men	down	#4A75A9	19
D46	sumoylation of transcription cofactors	men	down	#4A75A9	19
D46	deubiquitination	men	down	#4A75A9	19
D45	rhobtb2 gtpase cycle	common	down	#19787F	20
D45	generation of second messenger molecules	common	down	#19787F	20
D45	chromatin modifying enzymes	common	down	#19787F	20
D45	effects of pip2 hydrolysis	common	down	#19787F	20
D45	hdms demethylate histones	women	down	#B6453A	20
D45	mrna splicing	men	down	#4A75A9	20
D45	processing of capped intron containing pre mrna	men	down	#4A75A9	20
D45	transport of mature transcript to cytoplasm	men	down	#4A75A9	20
D45	rrna modification in the nucleus and cytosol	men	down	#4A75A9	20
D45	rna polymerase ii transcription termination	men	down	#4A75A9	20
D45	pd 1 signaling	men	down	#4A75A9	20
D45	formation of the beta catenin tcf transactivating complex	men	down	#4A75A9	20
D45	antigen activates b cell receptor bcr leading to generation of second messengers	men	down	#4A75A9	20
D45	sumoylation of rna binding proteins	men	down	#4A75A9	20
D45	potential therapeutics for sars	men	down	#4A75A9	20
D45	sumoylation of chromatin organization proteins	men	down	#4A75A9	20
D45	heparan sulfate heparin hs gag metabolism	men	up	#4A75A9	21
D45	mrna splicing	common	down	#19787F	21
D45	processing of capped intron containing pre mrna	common	down	#19787F	21
D45	transport of mature transcript to cytoplasm	common	down	#19787F	21
D45	rna polymerase ii transcription termination	common	down	#19787F	21
D45	interactions of rev with host cellular proteins	common	down	#19787F	21
D45	cellular response to heat stress	common	down	#19787F	21
D45	hcmv early events	common	down	#19787F	21
D45	nuclear import of rev protein	common	down	#19787F	21
D45	lagging strand synthesis	common	down	#19787F	21
D45	interactions of vpr with host cellular proteins	common	down	#19787F	21
D45	pcna dependent long patch base excision repair	common	down	#19787F	21
D45	sumoylation of rna binding proteins	common	down	#19787F	21
D45	trna processing	common	down	#19787F	21
D45	rhobtb2 gtpase cycle	common	down	#19787F	21
D45	mitochondrial calcium ion transport	common	down	#19787F	21
D45	association of tric cct with target proteins during biosynthesis	common	down	#19787F	21
D45	formation of rna pol ii elongation complex	common	down	#19787F	21
D45	trna processing in the nucleus	common	down	#19787F	21
D45	rna polymerase ii pre transcription events	common	down	#19787F	21
D45	nuclear pore complex npc disassembly	common	down	#19787F	21
D45	transport of the slbp dependant mature mrna	common	down	#19787F	21
D45	generation of second messenger molecules	common	down	#19787F	21
D45	rna polymerase i transcription initiation	common	down	#19787F	21
D45	chromatin modifying enzymes	common	down	#19787F	21
D45	transport of mature mrnas derived from intronless transcripts	common	down	#19787F	21
D45	export of viral ribonucleoproteins from nucleus	common	down	#19787F	21
D45	sumoylation of dna damage response and repair proteins	common	down	#19787F	21
D45	resolution of ap sites via the multiple nucleotide patch replacement pathway	common	down	#19787F	21
D45	formation of tubulin folding intermediates by cct tric	women	down	#B6453A	21
D45	ire1alpha activates chaperones	women	down	#B6453A	21
D45	dna strand elongation	women	down	#B6453A	21
D45	darpp 32 events	women	down	#B6453A	21
D45	hdms demethylate histones	women	down	#B6453A	21
D45	hcmv infection	women	down	#B6453A	21
D45	rhobtb gtpase cycle	women	down	#B6453A	21
D45	hsf1 activation	women	down	#B6453A	21
D45	rna polymerase i transcription termination	women	down	#B6453A	21
D45	hsf1 dependent transactivation	women	down	#B6453A	21
D45	hdacs deacetylate histones	women	down	#B6453A	21
D45	effects of pip2 hydrolysis	women	down	#B6453A	21
D45	translation	men	down	#4A75A9	21
D45	rrna processing	men	down	#4A75A9	21
D45	eukaryotic translation initiation	men	down	#4A75A9	21
D45	activation of the mrna upon binding of the cap binding complex and eifs and subsequent binding to 43s	men	down	#4A75A9	21
D45	rrna modification in the nucleus and cytosol	men	down	#4A75A9	21
D45	positive epigenetic regulation of rrna expression	men	down	#4A75A9	21
D45	rna polymerase i transcription	men	down	#4A75A9	21
D45	resolution of abasic sites ap sites	men	down	#4A75A9	21
D45	influenza infection	men	down	#4A75A9	21
D45	srp dependent cotranslational protein targeting to membrane	men	down	#4A75A9	21
D45	nonsense mediated decay nmd	men	down	#4A75A9	21
D45	regulation of expression of slits and robos	men	down	#4A75A9	21
D45	base excision repair	men	down	#4A75A9	21
D45	host interactions of hiv factors	men	down	#4A75A9	21
D45	mitochondrial translation	men	down	#4A75A9	21
D45	citric acid cycle tca cycle	men	down	#4A75A9	21
D45	signaling by robo receptors	men	down	#4A75A9	21
D45	hiv infection	men	down	#4A75A9	21
D45	hiv transcription elongation	men	down	#4A75A9	21
D45	eukaryotic translation elongation	men	down	#4A75A9	21
D45	pd 1 signaling	men	down	#4A75A9	21
D45	sars cov 1 modulates host translation machinery	men	down	#4A75A9	21
D45	mrna splicing minor pathway	men	down	#4A75A9	21
D45	formation of the beta catenin tcf transactivating complex	men	down	#4A75A9	21
D45	antigen activates b cell receptor bcr leading to generation of second messengers	men	down	#4A75A9	21
D45	signaling by the b cell receptor bcr	men	down	#4A75A9	21
D45	pyruvate metabolism and citric acid tca cycle	men	down	#4A75A9	21
D45	potential therapeutics for sars	men	down	#4A75A9	21
D45	mitochondrial protein import	men	down	#4A75A9	21
D45	regulation of hsf1 mediated heat shock response	men	down	#4A75A9	21
D45	hiv life cycle	men	down	#4A75A9	21
D45	fgfr2 alternative splicing	men	down	#4A75A9	21
D45	downstream signaling events of b cell receptor bcr	men	down	#4A75A9	21
D45	response of eif2ak4 gcn2 to amino acid deficiency	men	down	#4A75A9	21
D45	viral messenger rna synthesis	men	down	#4A75A9	21
D45	sumoylation of dna replication proteins	men	down	#4A75A9	21
D45	deadenylation of mrna	men	down	#4A75A9	21
D45	polymerase switching on the c strand of the telomere	men	down	#4A75A9	21
D45	cross presentation of soluble exogenous antigens endosomes	men	down	#4A75A9	21
D45	interleukin 12 family signaling	men	down	#4A75A9	21
D45	sumoylation of ubiquitinylation proteins	men	down	#4A75A9	21
D45	chromosome maintenance	men	down	#4A75A9	21
D45	transcription of the hiv genome	men	down	#4A75A9	21
D45	sumoylation of chromatin organization proteins	men	down	#4A75A9	21
D45	sars cov 2 modulates host translation machinery	men	down	#4A75A9	21
D45	sumoylation	men	down	#4A75A9	21
D45	epigenetic regulation of gene expression	men	down	#4A75A9	21
D45	mrna capping	men	down	#4A75A9	21
D45	transcriptional regulation by small rnas	men	down	#4A75A9	21
D45	sumoylation of sumoylation proteins	men	down	#4A75A9	21
D45	dna repair	men	down	#4A75A9	21
D45	snrnp assembly	men	down	#4A75A9	21
D45	telomere c strand lagging strand synthesis	men	down	#4A75A9	21
D45	selenoamino acid metabolism	men	down	#4A75A9	21
D45	regulation of glucokinase by glucokinase regulatory protein	men	down	#4A75A9	21
D45	rna polymerase i promoter escape	men	down	#4A75A9	21
D45	tp53 regulates transcription of dna repair genes	men	down	#4A75A9	21
D45	pkmts methylate histone lysines	men	down	#4A75A9	21
D45	processing of capped intronless pre mrna	men	down	#4A75A9	21
D45	hiv elongation arrest and recovery	men	down	#4A75A9	21
D45	mrna splicing	men	down	#4A75A9	22
D45	processing of capped intron containing pre mrna	men	down	#4A75A9	22
D45	effects of pip2 hydrolysis	men	down	#4A75A9	22
D45	generation of second messenger molecules	men	down	#4A75A9	22
D45	pd 1 signaling	men	down	#4A75A9	22
D45	formation of the beta catenin tcf transactivating complex	men	down	#4A75A9	22
D45	antigen activates b cell receptor bcr leading to generation of second messengers	men	down	#4A75A9	22
D45	signaling by the b cell receptor bcr	men	down	#4A75A9	22
D45	mitochondrial calcium ion transport	men	down	#4A75A9	22
C92	mitochondrial translation	common	up	#19787F	23
C92	formation of the early elongation complex	women	up	#B6453A	23
C92	mrna capping	women	up	#B6453A	23
C92	hiv transcription elongation	women	up	#B6453A	23
C92	respiratory electron transport	women	up	#B6453A	23
C92	branched chain amino acid catabolism	women	up	#B6453A	23
C92	abortive elongation of hiv 1 transcript in the absence of tat	women	up	#B6453A	23
C92	peroxisomal protein import	women	up	#B6453A	23
C92	formation of tc ner pre incision complex	women	up	#B6453A	23
C92	formation of incision complex in gg ner	women	up	#B6453A	23
C92	metabolism of polyamines	women	up	#B6453A	23
C92	protein localization	women	up	#B6453A	23
C92	dna damage recognition in gg ner	women	up	#B6453A	23
C92	respiratory electron transport atp synthesis by chemiosmotic coupling and heat production by uncoupling proteins	women	up	#B6453A	23
C92	signaling by bmp	women	down	#B6453A	23
C92	chemokine receptors bind chemokines	men	down	#4A75A9	23
C64	interferon alpha beta signaling	men	up	#4A75A9	24
C64	cell cycle mitotic	men	up	#4A75A9	24
C64	cell cycle checkpoints	men	up	#4A75A9	24
C64	interferon signaling	men	up	#4A75A9	24
C64	sars cov 2 activates modulates innate and adaptive immune responses	men	up	#4A75A9	24
C64	dna strand elongation	men	up	#4A75A9	24
C64	homologous dna pairing and strand exchange	men	up	#4A75A9	24
C64	activation of atr in response to replication stress	men	up	#4A75A9	24
C64	activation of the pre replicative complex	men	up	#4A75A9	24
C64	g2 m dna damage checkpoint	men	up	#4A75A9	24
C64	hdr through homologous recombination hrr	men	up	#4A75A9	24
C64	regulation of tp53 activity through phosphorylation	men	up	#4A75A9	24
C64	signaling by interleukins	men	up	#4A75A9	24
C64	g2 m checkpoints	men	up	#4A75A9	24
C64	chromosome maintenance	men	up	#4A75A9	24
C64	mitotic prometaphase	men	up	#4A75A9	24
C64	diseases of dna repair	men	up	#4A75A9	24
C64	neutrophil degranulation	men	up	#4A75A9	24
C64	interleukin 10 signaling	men	up	#4A75A9	24
C64	diseases of immune system	men	up	#4A75A9	24
C64	dna replication	men	up	#4A75A9	24
C64	toll like receptor cascades	men	up	#4A75A9	24
C64	tp53 regulates transcription of cell death genes	men	up	#4A75A9	24
C64	interferon gamma signaling	men	up	#4A75A9	24
C64	m phase	men	up	#4A75A9	24
C64	mitotic g1 phase and g1 s transition	men	up	#4A75A9	24
C64	antigen presentation folding assembly and peptide loading of class i mhc	men	up	#4A75A9	24
C64	mitotic spindle checkpoint	men	up	#4A75A9	24
C64	dna double strand break repair	men	up	#4A75A9	24
C64	processing of dna double strand break ends	men	up	#4A75A9	24
C64	synthesis of dna	men	up	#4A75A9	24
C64	antigen processing cross presentation	men	up	#4A75A9	24
C64	s phase	men	up	#4A75A9	24
C64	myd88 independent tlr4 cascade	men	up	#4A75A9	24
C64	tp53 regulates transcription of cell cycle genes	men	up	#4A75A9	24
C64	parasite infection	men	up	#4A75A9	24
C64	rho gtpase effectors	men	up	#4A75A9	24
C64	irak4 deficiency tlr2 4	men	up	#4A75A9	24
C64	resolution of sister chromatid cohesion	men	up	#4A75A9	24
C64	mitotic metaphase and anaphase	men	up	#4A75A9	24
C64	mitotic prophase	men	up	#4A75A9	24
C64	diseases of programmed cell death	men	up	#4A75A9	24
C64	chemokine receptors bind chemokines	men	up	#4A75A9	24
C64	rho gtpases activate formins	men	up	#4A75A9	24
C64	nucleotide binding domain leucine rich repeat containing receptor nlr signaling pathways	men	up	#4A75A9	24
C64	meiotic recombination	men	up	#4A75A9	24
C64	sars cov 1 activates modulates innate immune responses	men	up	#4A75A9	24
C64	deposition of new cenpa containing nucleosomes at the centromere	men	up	#4A75A9	24
C64	nuclear envelope breakdown	men	up	#4A75A9	24
C64	interleukin 12 family signaling	men	up	#4A75A9	24
C64	sumoylation of dna replication proteins	men	up	#4A75A9	24
C64	leishmania infection	men	up	#4A75A9	24
C64	antiviral mechanism by ifn stimulated genes	men	up	#4A75A9	24
C64	resolution of d loop structures through synthesis dependent strand annealing sdsa	men	up	#4A75A9	24
C64	interleukin 12 signaling	men	up	#4A75A9	24
C64	glycolysis	men	up	#4A75A9	24
C64	toll like receptor tlr1 tlr2 cascade	men	up	#4A75A9	24
C64	interleukin 4 and interleukin 13 signaling	men	up	#4A75A9	24
C64	gene and protein expression by jak stat signaling after interleukin 12 stimulation	men	up	#4A75A9	24
C64	resolution of d loop structures	men	up	#4A75A9	24
C64	separation of sister chromatids	men	up	#4A75A9	24
C64	dna replication pre initiation	men	up	#4A75A9	24
C64	dap12 interactions	men	up	#4A75A9	24
C64	rac3 gtpase cycle	men	up	#4A75A9	24
C64	initiation of nuclear envelope ne reformation	men	up	#4A75A9	24
C64	regulated necrosis	men	up	#4A75A9	24
C64	traf6 mediated irf7 activation	men	up	#4A75A9	24
C64	rho gtpases activate wasps and waves	men	up	#4A75A9	24
C64	programmed cell death	men	up	#4A75A9	24
C64	tnfr2 non canonical nf kb pathway	men	up	#4A75A9	24
C64	cyclin d associated events in g1	men	up	#4A75A9	24
C64	signaling by notch4	men	up	#4A75A9	24
C64	g0 and early g1	men	up	#4A75A9	24
C64	transcriptional regulation by tp53	men	up	#4A75A9	24
C64	cell surface interactions at the vascular wall	men	up	#4A75A9	24
C64	ddx58 ifih1 mediated induction of interferon alpha beta	men	up	#4A75A9	24
C64	mitotic g2 g2 m phases	men	up	#4A75A9	24
C64	host interactions of hiv factors	men	up	#4A75A9	24
C64	fcgamma receptor fcgr dependent phagocytosis	men	up	#4A75A9	24
C64	signaling by scf kit	men	up	#4A75A9	24
C64	apc c mediated degradation of cell cycle proteins	men	up	#4A75A9	24
C64	nod1 2 signaling pathway	men	up	#4A75A9	24
C64	apoptosis	men	up	#4A75A9	24
C64	cyclin a b1 b2 associated events during g2 m transition	men	up	#4A75A9	24
C64	switching of origins to a post replicative state	men	up	#4A75A9	24
C64	class i mhc mediated antigen processing presentation	men	up	#4A75A9	24
C64	interleukin 1 signaling	men	up	#4A75A9	24
C64	e2f mediated regulation of dna replication	men	up	#4A75A9	24
C64	g1 s specific transcription	men	up	#4A75A9	24
C64	interleukin 1 family signaling	men	up	#4A75A9	24
C64	orc1 removal from chromatin	men	up	#4A75A9	24
C64	dap12 signaling	men	up	#4A75A9	24
C64	ephb mediated forward signaling	men	up	#4A75A9	24
C64	signaling by erythropoietin	men	up	#4A75A9	24
C64	pyroptosis	men	up	#4A75A9	24
C64	signaling by csf3 g csf	men	up	#4A75A9	24
C64	signaling by the b cell receptor bcr	men	up	#4A75A9	24
C64	regulation of ifna ifnb signaling	men	up	#4A75A9	24
C64	deubiquitination	men	up	#4A75A9	24
C64	scf skp2 mediated degradation of p27 p21	men	up	#4A75A9	24
C64	fc epsilon receptor fceri signaling	men	up	#4A75A9	24
C64	inactivation of csf3 g csf signaling	men	up	#4A75A9	24
C64	g1 s dna damage checkpoints	men	up	#4A75A9	24
C64	regulation of runx3 expression and activity	men	up	#4A75A9	24
C64	signalling to erks	men	up	#4A75A9	24
C64	cellular response to hypoxia	men	up	#4A75A9	24
C64	interaction between l1 and ankyrins	men	down	#4A75A9	24
C34	cell cycle checkpoints	common	up	#19787F	25
C34	g2 m checkpoints	common	up	#19787F	25
C34	dna replication	common	up	#19787F	25
C34	synthesis of dna	common	up	#19787F	25
C34	cell cycle mitotic	common	up	#19787F	25
C34	activation of atr in response to replication stress	common	up	#19787F	25
C34	chromosome maintenance	common	up	#19787F	25
C34	dna strand elongation	common	up	#19787F	25
C34	homology directed repair	common	up	#19787F	25
C34	s phase	common	up	#19787F	25
C34	homologous dna pairing and strand exchange	common	up	#19787F	25
C34	mitotic spindle checkpoint	common	up	#19787F	25
C34	dna replication pre initiation	common	up	#19787F	25
C34	mitotic metaphase and anaphase	common	up	#19787F	25
C34	hdr through homologous recombination hrr	common	up	#19787F	25
C34	mitotic g1 phase and g1 s transition	common	up	#19787F	25
C34	activation of the pre replicative complex	common	up	#19787F	25
C34	deposition of new cenpa containing nucleosomes at the centromere	common	up	#19787F	25
C34	switching of origins to a post replicative state	common	up	#19787F	25
C34	dna double strand break repair	common	up	#19787F	25
C34	separation of sister chromatids	common	up	#19787F	25
C34	g2 m dna damage checkpoint	common	up	#19787F	25
C34	m phase	common	up	#19787F	25
C34	g1 s specific transcription	common	up	#19787F	25
C34	dna repair	common	up	#19787F	25
C34	diseases of dna repair	common	up	#19787F	25
C34	apc c mediated degradation of cell cycle proteins	common	up	#19787F	25
C34	processing of dna double strand break ends	common	up	#19787F	25
C34	resolution of abasic sites ap sites	common	up	#19787F	25
C34	resolution of sister chromatid cohesion	common	up	#19787F	25
C34	resolution of d loop structures through synthesis dependent strand annealing sdsa	common	up	#19787F	25
C34	resolution of d loop structures	common	up	#19787F	25
C34	mitotic prometaphase	common	up	#19787F	25
C34	interactions of rev with host cellular proteins	common	up	#19787F	25
C34	sumoylation of dna replication proteins	common	up	#19787F	25
C34	telomere maintenance	common	up	#19787F	25
C34	hdr through single strand annealing ssa	common	up	#19787F	25
C34	base excision repair	common	up	#19787F	25
C34	nuclear import of rev protein	common	up	#19787F	25
C34	glucose metabolism	common	up	#19787F	25
C34	polo like kinase mediated events	common	up	#19787F	25
C34	g0 and early g1	common	up	#19787F	25
C34	rho gtpases activate formins	common	up	#19787F	25
C34	regulation of tp53 activity through phosphorylation	common	up	#19787F	25
C34	export of viral ribonucleoproteins from nucleus	common	up	#19787F	25
C34	glycolysis	common	up	#19787F	25
C34	resolution of ap sites via the multiple nucleotide patch replacement pathway	common	up	#19787F	25
C34	nuclear envelope breakdown	common	up	#19787F	25
C34	copi dependent golgi to er retrograde traffic	common	up	#19787F	25
C34	fanconi anemia pathway	common	up	#19787F	25
C34	pcna dependent long patch base excision repair	common	up	#19787F	25
C34	postmitotic nuclear pore complex npc reformation	common	up	#19787F	25
C34	cyclin a b1 b2 associated events during g2 m transition	common	up	#19787F	25
C34	nuclear pore complex npc disassembly	common	up	#19787F	25
C34	extension of telomeres	common	up	#19787F	25
C34	telomere c strand lagging strand synthesis	common	up	#19787F	25
C34	mitotic g2 g2 m phases	common	up	#19787F	25
C34	lagging strand synthesis	common	up	#19787F	25
C34	apc cdc20 mediated degradation of nek2a	common	up	#19787F	25
C34	tp53 regulates transcription of genes involved in g2 cell cycle arrest	common	up	#19787F	25
C34	kinesins	common	up	#19787F	25
