term1	term2	sex	nes	ids	colors
Plasma cell myeloma	carfilzomib	women	0	7	#000000
Plasma cell myeloma	bortezomib	women	0	7	#000000
Plasma cell myeloma	clodronate	women	0	7	#000000
Asthma	clodronate	women	0	7	#000000
Crohn's disease	clodronate	women	0	7	#000000
Acute myeloid leukaemia	clofarabine	women	0	7	#000000
Acute myeloid leukaemia	cytarabine	women	0	7	#000000
Acute myeloid leukaemia	5-azacytidine	women	0	7	#000000
Chronic myelomonocytic leukaemia	5-azacytidine	women	0	7	#000000
Refractory anaemia with an excess of blasts	5-azacytidine	women	0	7	#000000
Myeloproliferative disorder	5-azacytidine	women	0	7	#000000
Acute myeloid leukaemia	5-aza-2'-deoxycytidine	women	0	7	#000000
Chronic myelomonocytic leukaemia	5-aza-2'-deoxycytidine	women	0	7	#000000
Refractory anaemia with an excess of blasts	5-aza-2'-deoxycytidine	women	0	7	#000000
Acute myeloid leukaemia	6-mercaptopurine	women	0	7	#000000
Chronic myeloid leukaemia	nilotinib	women	0	7	#000000
Lymphoproliferative disorder	tacrolimus	women	0	7	#000000
X-linked lymphoproliferative syndrome	tacrolimus	women	0	7	#000000
Type 1 diabetes mellitus	tacrolimus	women	0	7	#000000
Type 2 diabetes mellitus	tacrolimus	women	0	7	#000000
Kidney transplant rejection	tacrolimus	women	0	7	#000000
Myeloproliferative disorder	anagrelide	women	0	7	#000000
Systemic mastocytosis	omeprazole	women	0	7	#000000
Leukopenia	procainamide	women	0	7	#000000
Blood disorder	procainamide	women	0	7	#000000
Blood disorder	oxymetholone	women	0	7	#000000
Blood disorder	ticlopidine	women	0	7	#000000
Heparin-induced thrombocytopenia	argatroban	women	0	7	#000000
Acute myocardial infarction	argatroban	women	0	7	#000000
Heparin-induced thrombocytopenia	bivalirudin	women	0	7	#000000
Acute myocardial infarction	bivalirudin	women	0	7	#000000
Type 1 diabetes mellitus	linagliptin	women	0	7	#000000
Type 2 diabetes mellitus	linagliptin	women	0	7	#000000
Type 1 diabetes mellitus	sitagliptin	women	0	7	#000000
Type 2 diabetes mellitus	sitagliptin	women	0	7	#000000
Type 1 diabetes mellitus	saxagliptin	women	0	7	#000000
Type 2 diabetes mellitus	saxagliptin	women	0	7	#000000
Type 1 diabetes mellitus	metformin	women	0	7	#000000
Type 2 diabetes mellitus	metformin	women	0	7	#000000
Type 1 diabetes mellitus	glipizide	women	0	7	#000000
Type 2 diabetes mellitus	glipizide	women	0	7	#000000
Type 1 diabetes mellitus	repaglinide	women	0	7	#000000
Type 2 diabetes mellitus	repaglinide	women	0	7	#000000
Type 1 diabetes mellitus	pioglitazone	women	0	7	#000000
Type 2 diabetes mellitus	pioglitazone	women	0	7	#000000
Type 2 diabetes mellitus	alogliptin	women	0	7	#000000
Type 2 diabetes mellitus	vildagliptin	women	0	7	#000000
Type 2 diabetes mellitus	orlistat	women	0	7	#000000
Type 2 diabetes mellitus	miglitol	women	0	7	#000000
Type 2 diabetes mellitus	nateglinide	women	0	7	#000000
Type 2 diabetes mellitus	fenofibrate	women	0	7	#000000
Peripheral vascular disorder	fenofibrate	women	0	7	#000000
Type 2 diabetes mellitus	telmisartan	women	0	7	#000000
Type 2 diabetes mellitus	mifepristone	women	0	7	#000000
Nicotine dependence	nicotine	women	0	7	#000000
Thromboangiitis obliterans	nicotine	women	0	7	#000000
Schizophrenia	propericiazine	women	0	7	#000000
Schizophrenia	reserpine	women	0	7	#000000
Schizophrenia	amisulpride	women	0	7	#000000
Schizophrenia	iloperidone	women	0	7	#000000
Schizophrenia	lurasidone	women	0	7	#000000
Bipolar disorder	lurasidone	women	0	7	#000000
Bipolar disorder	maprotiline	women	0	7	#000000
Recurrent depressive disorder	maprotiline	women	0	7	#000000
Bipolar I disorder	fluoxetine	women	0	7	#000000
Parkinson's disease	rasagiline	women	0	7	#000000
Parkinson's disease	lisuride	women	0	7	#000000
Dementia Alzheimer's type	galantamine	women	0	7	#000000
Multiple sclerosis	hydroxocobalamin	women	0	7	#000000
Crohn's disease	hydroxocobalamin	women	0	7	#000000
Multiple sclerosis	cyanocobalamin	women	0	7	#000000
Crohn's disease	cyanocobalamin	women	0	7	#000000
Acute myocardial infarction	isosorbide	women	0	7	#000000
Acute myocardial infarction	prasugrel	women	0	7	#000000
Acute myocardial infarction	clopidogrel	women	0	7	#000000
Acute myocardial infarction	atropine	women	0	7	#000000
Irritable bowel syndrome	atropine	women	0	7	#000000
Cystitis	atropine	women	0	7	#000000
Atrial fibrillation and flutter	amiodarone	women	0	7	#000000
Asthma	amiodarone	women	0	7	#000000
Paroxysmal atrial fibrillation	propafenone	women	0	7	#000000
Chronic atrial fibrillation	digoxin	women	0	7	#000000
Intermittent claudication	cilostazol	women	0	7	#000000
Acrocyanosis	arginine	women	0	7	#000000
Sinusitis	moxifloxacin	women	0	7	#000000
Acne	moxifloxacin	women	0	7	#000000
Sinusitis	mometasone	women	0	7	#000000
Asthma	mometasone	women	0	7	#000000
Psoriasis	mometasone	women	0	7	#000000
Asthma	choline	women	0	7	#000000
Alcoholic liver disease	choline	women	0	7	#000000
Asthma	ticagrelor	women	0	7	#000000
Asthma	budesonide	women	0	7	#000000
Crohn's disease	budesonide	women	0	7	#000000
Colitis ulcerative	budesonide	women	0	7	#000000
Asthma	flunisolide	women	0	7	#000000
Asthma	ciclesonide	women	0	7	#000000
Asthma	methacholine	women	0	7	#000000
Asthma	indacaterol	women	0	7	#000000
Asthma	olodaterol	women	0	7	#000000
Asthma	sumatriptan	women	0	7	#000000
Asthma	n-acetylcysteine	women	0	7	#000000
Interstitial lung disease	dabrafenib	women	0	7	#000000
Interstitial lung disease	trametinib	women	0	7	#000000
Crohn's disease	azathioprine	women	0	7	#000000
Colitis ulcerative	azathioprine	women	0	7	#000000
Systemic lupus erythematosus	azathioprine	women	0	7	#000000
Dermatomyositis	azathioprine	women	0	7	#000000
Colitis ulcerative	balsalazide	women	0	7	#000000
Colitis ulcerative	indomethacin	women	0	7	#000000
Osteoarthritis	indomethacin	women	0	7	#000000
Irritable bowel syndrome	lubiprostone	women	0	7	#000000
Irritable bowel syndrome	darifenacin	women	0	7	#000000
Psoriatic arthropathy	apremilast	women	0	7	#000000
Psoriasis	calcipotriol	women	0	7	#000000
Psoriasis	hydrocortisone	women	0	7	#000000
Psoriasis	acitretin	women	0	7	#000000
Psoriasis	amcinonide	women	0	7	#000000
Psoriasis	tazarotene	women	0	7	#000000
Acne vulgaris	tazarotene	women	0	7	#000000
Seborrhoeic keratosis	tazarotene	women	0	7	#000000
Psoriasis	fluocinonide	women	0	7	#000000
Psoriasis	betamethasone	women	0	7	#000000
Acne vulgaris	adapalene	women	0	7	#000000
Acne	ofloxacin	women	0	7	#000000
Cystitis	ofloxacin	women	0	7	#000000
Rosacea	loteprednol	women	0	7	#000000
Osteoarthritis	tramadol	women	0	7	#000000
Osteoarthritis	ciprofloxacin	women	0	7	#000000
Cystitis	ciprofloxacin	women	0	7	#000000
Osteoarthritis	fenoprofen	women	0	7	#000000
Osteoarthritis	celecoxib	women	0	7	#000000
Osteoarthritis	valdecoxib	women	0	7	#000000
Osteoarthritis	etodolac	women	0	7	#000000
Systemic lupus erythematosus	furosemide	women	0	7	#000000
Sjogren's syndrome	pilocarpine	women	0	7	#000000
Sjogren's syndrome	cevimeline	women	0	7	#000000
Cystitis	norfloxacin	women	0	7	#000000
Cystitis	lomefloxacin	women	0	7	#000000
Endometriosis	norethisterone	women	0	7	#000000
Kidney transplant rejection	rapamycin	women	0	7	#000000
Malignant neoplasm of esophagus	irinotecan	men	0	7	#000000
Malignant neoplasm of pancreas	irinotecan	men	0	7	#000000
Lung neoplasm malignant	irinotecan	men	0	7	#000000
Malignant neoplasm of esophagus	5-fu	men	0	7	#000000
Colon cancer	5-fu	men	0	7	#000000
Seborrhoeic keratosis	5-fu	men	0	7	#000000
Gastric cancer	doxorubicin	men	0	7	#000000
Hepatic cancer	doxorubicin	men	0	7	#000000
Lung neoplasm malignant	doxorubicin	men	0	7	#000000
Breast cancer	doxorubicin	men	0	7	#000000
Prostate cancer	doxorubicin	men	0	7	#000000
Bladder cancer	doxorubicin	men	0	7	#000000
Thyroid cancer	doxorubicin	men	0	7	#000000
Plasma cell myeloma	doxorubicin	men	0	7	#000000
Acute myeloid leukaemia	doxorubicin	men	0	7	#000000
Colon cancer	capecitabine	men	0	7	#000000
Breast cancer	capecitabine	men	0	7	#000000
Hepatic cancer	mitoxantrone	men	0	7	#000000
Breast cancer	mitoxantrone	men	0	7	#000000
Prostate cancer	mitoxantrone	men	0	7	#000000
Acute myeloid leukaemia	mitoxantrone	men	0	7	#000000
Multiple sclerosis	mitoxantrone	men	0	7	#000000
Hepatic cancer	etoposide	men	0	7	#000000
Prostate cancer	etoposide	men	0	7	#000000
Bladder cancer	etoposide	men	0	7	#000000
Malignant neoplasm of pancreas	topotecan	men	0	7	#000000
Lung neoplasm malignant	topotecan	men	0	7	#000000
Plasma cell myeloma	topotecan	men	0	7	#000000
Lung neoplasm malignant	teniposide	men	0	7	#000000
Breast cancer	idarubicin	men	0	7	#000000
Acute myeloid leukaemia	idarubicin	men	0	7	#000000
Breast cancer	dexrazoxane	men	0	7	#000000
Prostate cancer	eaca	men	0	7	#000000
Blood disorder	eaca	men	0	7	#000000
Peripheral T-cell lymphoma unspecified	pralatrexate	men	0	7	#000000
Acute myeloid leukaemia	clofarabine	men	0	7	#000000
Acute myeloid leukaemia	cytarabine	men	0	7	#000000
Acute myeloid leukaemia	5-azacytidine	men	0	7	#000000
Chronic myelomonocytic leukaemia	5-azacytidine	men	0	7	#000000
Refractory anaemia with an excess of blasts	5-azacytidine	men	0	7	#000000
Myeloproliferative disorder	5-azacytidine	men	0	7	#000000
Acute myeloid leukaemia	5-aza-2'-deoxycytidine	men	0	7	#000000
Chronic myelomonocytic leukaemia	5-aza-2'-deoxycytidine	men	0	7	#000000
Refractory anaemia with an excess of blasts	5-aza-2'-deoxycytidine	men	0	7	#000000
Blood disorder	ticlopidine	men	0	7	#000000
Heparin-induced thrombocytopenia	argatroban	men	0	7	#000000
Acute myocardial infarction	argatroban	men	0	7	#000000
Heparin-induced thrombocytopenia	bivalirudin	men	0	7	#000000
Acute myocardial infarction	bivalirudin	men	0	7	#000000
Type 1 diabetes mellitus	linagliptin	men	0	7	#000000
Type 2 diabetes mellitus	linagliptin	men	0	7	#000000
Type 1 diabetes mellitus	sitagliptin	men	0	7	#000000
Type 2 diabetes mellitus	sitagliptin	men	0	7	#000000
Type 1 diabetes mellitus	saxagliptin	men	0	7	#000000
Type 2 diabetes mellitus	saxagliptin	men	0	7	#000000
Type 1 diabetes mellitus	metformin	men	0	7	#000000
Type 2 diabetes mellitus	metformin	men	0	7	#000000
Type 2 diabetes mellitus	alogliptin	men	0	7	#000000
Type 2 diabetes mellitus	vildagliptin	men	0	7	#000000
Schizophrenia	reserpine	men	0	7	#000000
Acute myocardial infarction	prasugrel	men	0	7	#000000
Acute myocardial infarction	clopidogrel	men	0	7	#000000
Sinusitis	moxifloxacin	men	0	7	#000000
Acne	moxifloxacin	men	0	7	#000000
Asthma	ticagrelor	men	0	7	#000000
Acne	ofloxacin	men	0	7	#000000
Cystitis	ofloxacin	men	0	7	#000000
Osteoarthritis	ciprofloxacin	men	0	7	#000000
Cystitis	ciprofloxacin	men	0	7	#000000
Cystitis	norfloxacin	men	0	7	#000000
Cystitis	lomefloxacin	men	0	7	#000000
Endometriosis	norethisterone	men	0	7	#000000
Trachoma	doxycycline	women	0	8	#000000
Sinusitis	doxycycline	women	0	8	#000000
Acne	doxycycline	women	0	8	#000000
Rosacea	doxycycline	women	0	8	#000000
Cystitis	doxycycline	women	0	8	#000000
Trachoma	tetracycline	women	0	8	#000000
Trachoma	erythromycin	women	0	8	#000000
Acne vulgaris	erythromycin	women	0	8	#000000
Hepatitis C	ribavirin	women	0	8	#000000
Bronchopulmonary aspergillosis allergic	prednisolone	women	0	8	#000000
Mycosis fungoides	prednisolone	women	0	8	#000000
Blood disorder	prednisolone	women	0	8	#000000
Sarcoidosis	prednisolone	women	0	8	#000000
Multiple sclerosis	prednisolone	women	0	8	#000000
Asthma	prednisolone	women	0	8	#000000
Organising pneumonia	prednisolone	women	0	8	#000000
Crohn's disease	prednisolone	women	0	8	#000000
Colitis ulcerative	prednisolone	women	0	8	#000000
Psoriatic arthropathy	prednisolone	women	0	8	#000000
Rosacea	prednisolone	women	0	8	#000000
Osteoarthritis	prednisolone	women	0	8	#000000
Systemic lupus erythematosus	prednisolone	women	0	8	#000000
Dermatomyositis	prednisolone	women	0	8	#000000
Polymyalgia rheumatica	prednisolone	women	0	8	#000000
Malignant neoplasm of esophagus	irinotecan	women	0	8	#000000
Malignant neoplasm of pancreas	irinotecan	women	0	8	#000000
Lung neoplasm malignant	irinotecan	women	0	8	#000000
Malignant neoplasm of esophagus	cisplatin	women	0	8	#000000
Hepatic cancer	cisplatin	women	0	8	#000000
Lung neoplasm malignant	cisplatin	women	0	8	#000000
Breast cancer	cisplatin	women	0	8	#000000
Prostate cancer	cisplatin	women	0	8	#000000
Bladder cancer	cisplatin	women	0	8	#000000
Brain neoplasm malignant	cisplatin	women	0	8	#000000
Adrenal gland cancer	cisplatin	women	0	8	#000000
Malignant neoplasm of esophagus	methotrexate	women	0	8	#000000
Lung neoplasm malignant	methotrexate	women	0	8	#000000
Breast cancer	methotrexate	women	0	8	#000000
Bladder cancer	methotrexate	women	0	8	#000000
Mycosis fungoides	methotrexate	women	0	8	#000000
Psoriatic arthropathy	methotrexate	women	0	8	#000000
Malignant neoplasm of esophagus	5-fu	women	0	8	#000000
Colon cancer	5-fu	women	0	8	#000000
Seborrhoeic keratosis	5-fu	women	0	8	#000000
Gastric cancer	doxorubicin	women	0	8	#000000
Hepatic cancer	doxorubicin	women	0	8	#000000
Lung neoplasm malignant	doxorubicin	women	0	8	#000000
Breast cancer	doxorubicin	women	0	8	#000000
Prostate cancer	doxorubicin	women	0	8	#000000
Bladder cancer	doxorubicin	women	0	8	#000000
Thyroid cancer	doxorubicin	women	0	8	#000000
Plasma cell myeloma	doxorubicin	women	0	8	#000000
Acute myeloid leukaemia	doxorubicin	women	0	8	#000000
Colon cancer	capecitabine	women	0	8	#000000
Breast cancer	capecitabine	women	0	8	#000000
Hepatic cancer	mitoxantrone	women	0	8	#000000
Breast cancer	mitoxantrone	women	0	8	#000000
Prostate cancer	mitoxantrone	women	0	8	#000000
Acute myeloid leukaemia	mitoxantrone	women	0	8	#000000
Multiple sclerosis	mitoxantrone	women	0	8	#000000
Hepatic cancer	etoposide	women	0	8	#000000
Prostate cancer	etoposide	women	0	8	#000000
Bladder cancer	etoposide	women	0	8	#000000
Malignant neoplasm of pancreas	topotecan	women	0	8	#000000
Lung neoplasm malignant	topotecan	women	0	8	#000000
Plasma cell myeloma	topotecan	women	0	8	#000000
Malignant neoplasm of pancreas	gemcitabine	women	0	8	#000000
Lung neoplasm malignant	gemcitabine	women	0	8	#000000
Breast cancer	gemcitabine	women	0	8	#000000
Bladder cancer	gemcitabine	women	0	8	#000000
Malignant neoplasm of islets of Langerhans	dacarbazine	women	0	8	#000000
Lung neoplasm malignant	sunitinib	women	0	8	#000000
Gastrointestinal stromal tumour	sunitinib	women	0	8	#000000
Lung neoplasm malignant	vinorelbine	women	0	8	#000000
Breast cancer	vinorelbine	women	0	8	#000000
Lung neoplasm malignant	teniposide	women	0	8	#000000
Lung neoplasm malignant	hydroxyurea	women	0	8	#000000
Chronic myeloid leukaemia	hydroxyurea	women	0	8	#000000
Myeloproliferative disorder	hydroxyurea	women	0	8	#000000
Sickle cell anaemia	hydroxyurea	women	0	8	#000000
Breast cancer	everolimus	women	0	8	#000000
Breast cancer	eribulin	women	0	8	#000000
Breast cancer	raltitrexed	women	0	8	#000000
Breast cancer	idarubicin	women	0	8	#000000
Acute myeloid leukaemia	idarubicin	women	0	8	#000000
Breast cancer	dexrazoxane	women	0	8	#000000
Breast cancer	pemetrexed	women	0	8	#000000
Breast cancer	ixabepilone	women	0	8	#000000
Breast cancer	paliperidone	women	0	8	#000000
Schizophrenia	paliperidone	women	0	8	#000000
Parkinson's disease	paliperidone	women	0	8	#000000
Dementia with Lewy bodies	paliperidone	women	0	8	#000000
Breast cancer	risperidone	women	0	8	#000000
Schizophrenia	risperidone	women	0	8	#000000
Bipolar disorder	risperidone	women	0	8	#000000
Autism	risperidone	women	0	8	#000000
Parkinson's disease	risperidone	women	0	8	#000000
Dementia Alzheimer's type	risperidone	women	0	8	#000000
Dementia with Lewy bodies	risperidone	women	0	8	#000000
Prostate cancer	cabazitaxel	women	0	8	#000000
Prostate cancer	flutamide	women	0	8	#000000
Prostate cancer	bicalutamide	women	0	8	#000000
Prostate cancer	eaca	women	0	8	#000000
Blood disorder	eaca	women	0	8	#000000
Mycosis fungoides	bexarotene	women	0	8	#000000
Mycosis fungoides	triamcinolone	women	0	8	#000000
Blood disorder	triamcinolone	women	0	8	#000000
Sarcoidosis	triamcinolone	women	0	8	#000000
Multiple sclerosis	triamcinolone	women	0	8	#000000
Asthma	triamcinolone	women	0	8	#000000
Colitis ulcerative	triamcinolone	women	0	8	#000000
Psoriatic arthropathy	triamcinolone	women	0	8	#000000
Osteoarthritis	triamcinolone	women	0	8	#000000
Systemic lupus erythematosus	triamcinolone	women	0	8	#000000
Dermatomyositis	triamcinolone	women	0	8	#000000
Mycosis fungoides	prednisone	women	0	8	#000000
Blood disorder	prednisone	women	0	8	#000000
Sarcoidosis	prednisone	women	0	8	#000000
Multiple sclerosis	prednisone	women	0	8	#000000
Asthma	prednisone	women	0	8	#000000
Crohn's disease	prednisone	women	0	8	#000000
Colitis ulcerative	prednisone	women	0	8	#000000
Psoriatic arthropathy	prednisone	women	0	8	#000000
Osteoarthritis	prednisone	women	0	8	#000000
Systemic lupus erythematosus	prednisone	women	0	8	#000000
Dermatomyositis	prednisone	women	0	8	#000000
Mycosis fungoides	methylprednisolone	women	0	8	#000000
Blood disorder	methylprednisolone	women	0	8	#000000
Sarcoidosis	methylprednisolone	women	0	8	#000000
Multiple sclerosis	methylprednisolone	women	0	8	#000000
Asthma	methylprednisolone	women	0	8	#000000
Colitis ulcerative	methylprednisolone	women	0	8	#000000
Psoriatic arthropathy	methylprednisolone	women	0	8	#000000
Osteoarthritis	methylprednisolone	women	0	8	#000000
Systemic lupus erythematosus	methylprednisolone	women	0	8	#000000
Dermatomyositis	methylprednisolone	women	0	8	#000000
Polymyalgia rheumatica	methylprednisolone	women	0	8	#000000
Peripheral T-cell lymphoma unspecified	pralatrexate	women	0	8	#000000
Plasma cell myeloma	lenalidomide	women	0	8	#000000
Plasma cell myeloma	pomalidomide	women	0	8	#000000
Plasma cell myeloma	carfilzomib	women	0	8	#000000
Plasma cell myeloma	bortezomib	women	0	8	#000000
Plasma cell myeloma	clodronate	women	0	8	#000000
Asthma	clodronate	women	0	8	#000000
Crohn's disease	clodronate	women	0	8	#000000
Plasma cell myeloma	bcnu	women	0	8	#000000
Acute myeloid leukaemia	clofarabine	women	0	8	#000000
Acute myeloid leukaemia	cytarabine	women	0	8	#000000
Acute myeloid leukaemia	5-azacytidine	women	0	8	#000000
Chronic myelomonocytic leukaemia	5-azacytidine	women	0	8	#000000
Refractory anaemia with an excess of blasts	5-azacytidine	women	0	8	#000000
Myeloproliferative disorder	5-azacytidine	women	0	8	#000000
Acute myeloid leukaemia	5-aza-2'-deoxycytidine	women	0	8	#000000
Chronic myelomonocytic leukaemia	5-aza-2'-deoxycytidine	women	0	8	#000000
Refractory anaemia with an excess of blasts	5-aza-2'-deoxycytidine	women	0	8	#000000
Acute myeloid leukaemia	6-mercaptopurine	women	0	8	#000000
Chronic myeloid leukaemia	nilotinib	women	0	8	#000000
Polycythaemia vera	ruxolitinib	women	0	8	#000000
Myelofibrosis	ruxolitinib	women	0	8	#000000
Lymphoproliferative disorder	tacrolimus	women	0	8	#000000
X-linked lymphoproliferative syndrome	tacrolimus	women	0	8	#000000
Type 1 diabetes mellitus	tacrolimus	women	0	8	#000000
Type 2 diabetes mellitus	tacrolimus	women	0	8	#000000
Kidney transplant rejection	tacrolimus	women	0	8	#000000
Myeloproliferative disorder	anagrelide	women	0	8	#000000
Myeloproliferative disorder	udca	women	0	8	#000000
Systemic mastocytosis	omeprazole	women	0	8	#000000
Systemic mastocytosis	ranitidine	women	0	8	#000000
Leukocytosis	flurbiprofen	women	0	8	#000000
Osteoarthritis	flurbiprofen	women	0	8	#000000
Leukopenia	procainamide	women	0	8	#000000
Blood disorder	procainamide	women	0	8	#000000
Leukopenia	eprosartan	women	0	8	#000000
Blood disorder	oxymetholone	women	0	8	#000000
Blood disorder	ticlopidine	women	0	8	#000000
Type 1 diabetes mellitus	captopril	women	0	8	#000000
Type 2 diabetes mellitus	captopril	women	0	8	#000000
Collagen-vascular disease	captopril	women	0	8	#000000
Type 1 diabetes mellitus	metformin	women	0	8	#000000
Type 2 diabetes mellitus	metformin	women	0	8	#000000
Type 1 diabetes mellitus	glipizide	women	0	8	#000000
Type 2 diabetes mellitus	glipizide	women	0	8	#000000
Type 1 diabetes mellitus	repaglinide	women	0	8	#000000
Type 2 diabetes mellitus	repaglinide	women	0	8	#000000
Type 1 diabetes mellitus	pioglitazone	women	0	8	#000000
Type 2 diabetes mellitus	pioglitazone	women	0	8	#000000
Type 1 diabetes mellitus	exenatide	women	0	8	#000000
Type 2 diabetes mellitus	exenatide	women	0	8	#000000
Type 1 diabetes mellitus	liraglutide	women	0	8	#000000
Type 2 diabetes mellitus	liraglutide	women	0	8	#000000
Type 1 diabetes mellitus	glucagon	women	0	8	#000000
Type 2 diabetes mellitus	orlistat	women	0	8	#000000
Type 2 diabetes mellitus	atorvastatin	women	0	8	#000000
Premature menopause	atorvastatin	women	0	8	#000000
Peripheral vascular disorder	atorvastatin	women	0	8	#000000
Type 2 diabetes mellitus	miglitol	women	0	8	#000000
Type 2 diabetes mellitus	gliclazide	women	0	8	#000000
Type 2 diabetes mellitus	nateglinide	women	0	8	#000000
Type 2 diabetes mellitus	fenofibrate	women	0	8	#000000
Peripheral vascular disorder	fenofibrate	women	0	8	#000000
Type 2 diabetes mellitus	telmisartan	women	0	8	#000000
Type 2 diabetes mellitus	mifepristone	women	0	8	#000000
Type 2 diabetes mellitus	lorcaserin	women	0	8	#000000
Type 2 diabetes mellitus	losartan	women	0	8	#000000
Type 2 diabetes mellitus	bromocriptine	women	0	8	#000000
Parkinson's disease	bromocriptine	women	0	8	#000000
Type 2 diabetes mellitus	eplerenone	women	0	8	#000000
Acute myocardial infarction	eplerenone	women	0	8	#000000
Type 2 diabetes mellitus	niacin	women	0	8	#000000
Premature menopause	simvastatin	women	0	8	#000000
Peripheral vascular disorder	simvastatin	women	0	8	#000000
Schizophrenia	propericiazine	women	0	8	#000000
Schizophrenia	reserpine	women	0	8	#000000
Schizophrenia	clomipramine	women	0	8	#000000
Parkinson's disease	clomipramine	women	0	8	#000000
Schizophrenia	amisulpride	women	0	8	#000000
Schizophrenia	iloperidone	women	0	8	#000000
Schizophrenia	lurasidone	women	0	8	#000000
Bipolar disorder	lurasidone	women	0	8	#000000
Bipolar disorder	maprotiline	women	0	8	#000000
Recurrent depressive disorder	maprotiline	women	0	8	#000000
Bipolar I disorder	fluoxetine	women	0	8	#000000
Parkinson's disease	rasagiline	women	0	8	#000000
Parkinson's disease	midodrine	women	0	8	#000000
Parkinson's disease	rivastigmine	women	0	8	#000000
Dementia Alzheimer's type	rivastigmine	women	0	8	#000000
Parkinson's disease	lisuride	women	0	8	#000000
Parkinson's disease	tolcapone	women	0	8	#000000
Parkinson's disease	entacapone	women	0	8	#000000
Dementia Alzheimer's type	citalopram	women	0	8	#000000
Cerebral infarction	citalopram	women	0	8	#000000
Multiple sclerosis	hydroxocobalamin	women	0	8	#000000
Crohn's disease	hydroxocobalamin	women	0	8	#000000
Multiple sclerosis	cyanocobalamin	women	0	8	#000000
Crohn's disease	cyanocobalamin	women	0	8	#000000
Acute myocardial infarction	eptifibatide	women	0	8	#000000
Acute myocardial infarction	isosorbide	women	0	8	#000000
Acute myocardial infarction	prasugrel	women	0	8	#000000
Acute myocardial infarction	clopidogrel	women	0	8	#000000
Acute myocardial infarction	valsartan	women	0	8	#000000
Acute myocardial infarction	lisinopril	women	0	8	#000000
Acute myocardial infarction	trandolapril	women	0	8	#000000
Acute myocardial infarction	verapamil	women	0	8	#000000
Chronic atrial fibrillation	verapamil	women	0	8	#000000
Peripheral vascular disorder	verapamil	women	0	8	#000000
Asthma	verapamil	women	0	8	#000000
Atrial fibrillation and flutter	amiodarone	women	0	8	#000000
Asthma	amiodarone	women	0	8	#000000
Chronic atrial fibrillation	digoxin	women	0	8	#000000
Peripheral vascular disorder	amlodipine	women	0	8	#000000
Intermittent claudication	cilostazol	women	0	8	#000000
Acrocyanosis	arginine	women	0	8	#000000
Sinusitis	moxifloxacin	women	0	8	#000000
Acne	moxifloxacin	women	0	8	#000000
Sinusitis	acetaminophen	women	0	8	#000000
Osteoarthritis	acetaminophen	women	0	8	#000000
Sinusitis	mometasone	women	0	8	#000000
Asthma	mometasone	women	0	8	#000000
Psoriasis	mometasone	women	0	8	#000000
Asthma	choline	women	0	8	#000000
Alcoholic liver disease	choline	women	0	8	#000000
Asthma	ticagrelor	women	0	8	#000000
Asthma	ketorolac	women	0	8	#000000
Osteoarthritis	ketorolac	women	0	8	#000000
Asthma	ketotifen	women	0	8	#000000
Asthma	budesonide	women	0	8	#000000
Crohn's disease	budesonide	women	0	8	#000000
Colitis ulcerative	budesonide	women	0	8	#000000
Asthma	flunisolide	women	0	8	#000000
Asthma	ciclesonide	women	0	8	#000000
Asthma	oseltamivir	women	0	8	#000000
Asthma	n-acetylcysteine	women	0	8	#000000
Interstitial lung disease	dabrafenib	women	0	8	#000000
Interstitial lung disease	trametinib	women	0	8	#000000
Idiopathic pulmonary fibrosis	pirfenidone	women	0	8	#000000
Cheilosis	pyridoxine	women	0	8	#000000
Crohn's disease	azathioprine	women	0	8	#000000
Colitis ulcerative	azathioprine	women	0	8	#000000
Systemic lupus erythematosus	azathioprine	women	0	8	#000000
Dermatomyositis	azathioprine	women	0	8	#000000
Colitis ulcerative	balsalazide	women	0	8	#000000
Colitis ulcerative	indomethacin	women	0	8	#000000
Osteoarthritis	indomethacin	women	0	8	#000000
Irritable bowel syndrome	lubiprostone	women	0	8	#000000
Irritable bowel syndrome	darifenacin	women	0	8	#000000
Irritable bowel syndrome	tegaserod	women	0	8	#000000
Psoriatic arthropathy	leflunomide	women	0	8	#000000
Psoriatic arthropathy	auranofin	women	0	8	#000000
Psoriatic arthropathy	apremilast	women	0	8	#000000
Psoriasis	calcipotriol	women	0	8	#000000
Psoriasis	hydrocortisone	women	0	8	#000000
Psoriasis	acitretin	women	0	8	#000000
Psoriasis	amcinonide	women	0	8	#000000
Psoriasis	tazarotene	women	0	8	#000000
Acne vulgaris	tazarotene	women	0	8	#000000
Seborrhoeic keratosis	tazarotene	women	0	8	#000000
Psoriasis	fluocinonide	women	0	8	#000000
Psoriasis	betamethasone	women	0	8	#000000
Psoriasis	halcinonide	women	0	8	#000000
Acne vulgaris	adapalene	women	0	8	#000000
Acne	ofloxacin	women	0	8	#000000
Cystitis	ofloxacin	women	0	8	#000000
Rosacea	loteprednol	women	0	8	#000000
Rosacea	rescinnamine	women	0	8	#000000
Seborrhoeic keratosis	diclofenac	women	0	8	#000000
Osteoarthritis	diclofenac	women	0	8	#000000
Osteoarthritis	ketoprofen	women	0	8	#000000
Osteoarthritis	tramadol	women	0	8	#000000
Osteoarthritis	ciprofloxacin	women	0	8	#000000
Cystitis	ciprofloxacin	women	0	8	#000000
Osteoarthritis	rofecoxib	women	0	8	#000000
